ID avtt sigmatt
1654 15 0
55247 15 0
45634 57 0
1472 46 0
88457 27 0
57043 46 0
4970 7 0
4286 3 0
59031 85 0
93623 18 0
5299 10 0
52619 4 0
7019 16 0
31208 19 0
51848 10 0
89813 7 0
17884 13 0
42782 4 0
50636 7 0
1378 7 0
1293 5 0
12175 6 0
94447 6 0
56517 13 0
54044 7 0
34734 63 0
81085 4 0
34673 4 0
46990 13 0
46989 3 0
89395 23 0
69023 5 0
17988 4 0
17948 108 0
17033 6 0
33722 37 0
26700 23 0
50429 6 0
42178 13 0
50430 23 0
55176 13 0
42179 13 0
42249 9 0
92733 20 0
51244 27 0
74415 56 0
25536 56 0
59551 51 0
22329 3 0
28099 3 0
76281 6 0
76547 5 0
22327 3 0
92743 12 0
5597 6 0
5711 36 0
51840 50 0
47146 8 0
46870 6 0
44109 15 0
72357 79 0
80997 61 0
34617 29 0
2956 16 0
55174 13 0
23544 13 0
10736 13 0
2955 4 0
42180 14 0
48746 6 0
25043 7 0
90521 3 0
79131 36 0
90557 39 0
51885 7 0
51383 7 0
52197 15 0
92333 4 0
9593 19 0
10243 26 0
884 23 0
56591 6 0
46993 23 0
18653 8 0
69517 9 0
18704 365 0
83843 17 0
65395 99 0
12938 183 0
12350 99 0
33697 15 0
92731 40 0
92265 15 0
52473 21 0
94493 26 0
45917 9 0
55038 4 0
21871 7 0
71821 49 0
78939 5 0
94561 4 0
23744 32 0
82837 15 0
51777 6 0
82669 111 0
73915 30 0
53252 67 0
48878 3 0
28770 161 0
50164 52 0
91581 108 0
18375 29 0
355 108 0
34427 80 0
51298 38 0
62467 4 0
9220 44 0
31333 11 0
31398 13 0
43345 6 0
25041 9 0
53199 4 0
23701 51 0
23690 31 0
73125 134 0
52907 3 0
47994 67 0
90123 13 0
87979 11 0
6995 9 0
51268 15 0
56035 40 0
90777 4 0
49136 7 0
48481 8 0
91009 28 0
93661 108 0
53534 4 0
50484 30 0
90775 7 0
17027 9 0
53929 60 0
53985 7 0
56209 156 0
374 18 0
50029 55 0
47775 4 0
67815 56 0
47622 8 0
28863 3 0
15227 6 0
93721 60 0
29424 54 0
77223 6 0
51620 11 0
52436 7 0
5333 315 0
74019 56 0
20855 120 0
59855 19 0
83141 16 0
35988 146 0
42073 22 0
1573 9 0
30426 26 0
17034 6 0
50727 78 0
2464 3 0
10699 11 0
75427 40 0
26940 16 0
40744 11 0
26646 10 0
2747 4 0
57961 154 0
73201 5 0
49751 39 0
50801 7 0
376 156 0
7957 25 0
11656 21 0
73983 65 0
53459 12 0
43991 21 0
2296 3 0
48943 6 0
74471 145 0
25568 12 0
74465 55 0
477 7 0
92263 6 0
56277 63 0
22272 9 0
48896 14 0
17291 17 0
51589 19 0
50946 3 0
85077 214 0
89855 489 0
51099 13 0
15487 4 0
48029 9 0
55443 4 0
17105 6 0
48028 6 0
38103 9 0
91859 18 0
514 19 0
93273 21 0
89185 55 0
47675 38 0
91017 6 0
49426 32 0
53462 13 0
12704 23 0
5598 10 0
53198 6 0
35499 19 0
59725 7 0
69401 59 0
18511 107 0
18531 86 0
50032 9 0
10004 3 0
9547 4 0
44329 3 0
338 10 0
9987 3 0
10005 7 0
9546 3 0
9988 5 0
14726 4 0
82829 4 0
68397 6 0
17278 20 0
44639 8 0
67049 43 0
62769 4 0
80763 4 0
11840 48 0
48785 10 0
37207 38 0
47215 25 0
49424 22 0
52825 69 0
91015 32 0
93219 13 0
48559 3 0
95047 72 0
20616 42 0
95045 3 0
9675 10 0
71945 10 0
48979 189 0
74011 21 0
25057 83 0
47685 4 0
57595 22 0
57123 8 0
32695 21 0
14074 8 0
14632 3 0
16437 9 0
53113 23 0
54885 126 0
93405 10 0
85651 9 0
41309 208 0
40486 8 0
86337 5 0
93411 17 0
54999 34 0
53119 5 0
18832 169 0
37382 15 0
82883 136 0
82963 63 0
74611 87 0
56443 49 0
25761 38 0
59027 9 0
60871 104 0
42496 22 0
56923 51 0
45636 27 0
86341 32 0
52482 13 0
2953 9 0
61773 79 0
36244 14 0
93081 84 0
92905 32 0
52338 28 0
85119 62 0
40484 201 0
72953 3 0
33639 12 0
23485 4 0
34484 30 0
34483 6 0
21609 11 0
91949 16 0
76619 13 0
27049 96 0
61941 40 0
8034 9 0
8510 54 0
53889 4 0
42176 32 0
51455 34 0
52321 12 0
3744 6 0
66661 4 0
67425 153 0
15729 33 0
67575 58 0
15906 76 0
12576 59 0
65131 22 0
24921 65 0
73979 17 0
89925 9 0
47871 13 0
52053 3 0
45123 18 0
57041 46 0
93407 12 0
53115 10 0
82689 57 0
2951 9 0
50347 17 0
7034 16 0
53458 18 0
2952 9 0
52640 21 0
14070 3 0
47630 9 0
66199 5 0
74087 58 0
74085 38 0
42167 16 0
12101 4 0
16769 8 0
16478 5 0
48982 18 0
47640 14 0
53216 9 0
48182 6 0
15074 23 0
84515 26 0
39523 14 0
55178 5 0
53890 16 0
81077 5 0
34719 7 0
34765 5 0
52479 16 0
17028 17 0
1365 23 0
6866 19 0
1272 51 0
60943 6 0
56275 7 0
23887 11 0
2949 5 0
33984 20 0
2093 23 0
74211 21 0
61723 28 0
2950 9 0
78563 19 0
31206 9 0
1991 6 0
20817 24 0
85101 18 0
40482 29 0
92831 5 0
52245 4 0
92537 5 0
23532 6 0
23153 9 0
72749 3 0
40379 63 0
87263 15 0
20781 3 0
31622 67 0
77843 19 0
53888 9 0
53930 26 0
19347 78 0
70041 22 0
89927 4 0
47792 9 0
51456 16 0
51174 14 0
9156 15 0
16035 18 0
85111 201 0
40488 190 0
72835 10 0
51173 4 0
51991 4 0
76459 27 0
75987 161 0
28608 38 0
92659 5 0
51987 40 0
92393 38 0
19005 17 0
16723 24 0
15174 3 0
88737 12 0
45705 14 0
71055 76 0
84279 14 0
39344 25 0
20770 8 0
3443 17 0
58395 6 0
3263 7 0
23155 3 0
23157 4 0
68291 9 0
16934 5 0
3471 4 0
23156 4 0
14318 4 0
30213 8 0
78805 5 0
31592 163 0
52909 4 0
54979 5 0
50058 22 0
55577 21 0
23158 10 0
47652 17 0
67803 4 0
89829 22 0
44035 3 0
120 3 0
56067 79 0
67623 83 0
16619 342 0
30129 4 0
77743 256 0
23549 4 0
44031 5 0
118 4 0
56065 3 0
51525 12 0
24656 13 0
44028 5 0
44032 6 0
22273 36 0
41156 92 0
92551 6 0
51794 27 0
46301 75 0
51177 6 0
29224 35 0
62391 3 0
85125 101 0
57321 70 0
8765 3 0
62393 6 0
6856 8 0
60937 13 0
93217 69 0
47933 29 0
90457 33 0
48612 32 0
62945 29 0
13557 67 0
54122 21 0
9957 13 0
63235 77 0
76205 3 0
27999 3 0
51849 3 0
9010 6 0
20236 3 0
20238 3 0
9955 9 0
63233 13 0
74149 9 0
25187 15 0
55374 166 0
94771 11 0
55851 209 0
84635 23 0
37347 8 0
52581 21 0
52366 105 0
92683 83 0
22744 37 0
86897 5 0
43218 10 0
92881 6 0
19312 32 0
94957 42 0
55673 9 0
43635 6 0
3546 6 0
49270 7 0
90905 17 0
40565 18 0
40357 19 0
84993 14 0
84989 14 0
77151 80 0
29350 8 0
29346 5 0
20038 8 0
23041 4 0
77599 97 0
77583 17 0
29936 24 0
19864 3 0
70391 6 0
6858 13 0
60939 5 0
89843 32 0
53953 38 0
61933 3 0
8172 3 0
47125 32 0
50270 9 0
7701 5 0
39643 25 0
85769 8 0
47626 11 0
17880 3 0
19272 14 0
8878 18 0
36037 13 0
6519 10 0
92021 33 0
34842 12 0
10667 33 0
63735 5 0
5461 4 0
36168 17 0
14003 22 0
16434 9 0
16731 31 0
65813 9 0
13230 3 0
13322 11 0
65573 121 0
91713 10 0
55513 21 0
94859 4 0
5370 4 0
68997 26 0
17919 3 0
15398 6 0
15526 22 0
67249 12 0
55929 93 0
95127 49 0
53902 22 0
93889 21 0
19610 198 0
66717 29 0
