eid source target dir capacity speed_mph cost_time tt_user tt_soc
1654 1 4 1 1900 30 0.282750310805 0.399028 0.39827
55247 1 1951 1 1900 30 0.286458869768 0.40105 0.401044
45634 2 2848 1 950 20 1.15553749767 1.61776 1.61775
1472 2 159 1 950 20 0.925916779917 1.29644 1.29645
88457 2 141 1 950 20 0.541874025219 0.929 0.827969
57043 2 26437 1 950 20 0.941302498991 1.31786 1.31787
4970 3 3281 1 1900 30 0.122924283263 0.174012 0.17329
4286 3 12477 1 1900 30 0.0151500180315 0.0222375 0.0215109
59031 3 13502 1 1900 30 1.71238604684 2.39741 2.41467
93623 4 162 1 1900 30 0.335457605242 0.475256 0.472687
5299 4 5 1 1900 30 0.172790402757 0.252727 0.247424
52619 5 1948 1 1900 30 0.0670403824483 0.103081 0.0984754
7019 5 13590 1 1900 30 0.311931420509 0.454919 0.44803
31208 5 182 1 1900 30 0.366840982552 0.513652 0.513593
51848 6 233 1 5400 40 0.16997163428 0.240865 0.240387
89813 6 25986 1 1900 30 0.113144800573 0.158646 0.159055
17884 6 26245 1 1900 30 0.250462915018 0.536768 0.446768
42782 7 1642 1 1900 30 0.0521331523106 0.0834417 0.076887
50636 7 7119 1 1900 30 0.124463057066 0.175803 0.175395
1378 8 13253 1 1900 30 0.121155885227 0.170651 0.170421
1293 8 22454 1 1900 30 0.0835497000052 0.11697 0.11697
12175 9 2930 1 950 20 0.119493928782 0.167299 0.167299
94447 9 1444 1 950 20 0.115973516835 0.162363 0.162363
56517 10 21936 1 950 20 0.258559219923 0.361983 0.361983
54044 11 20200 1 8100 40 0.105179624943 0.147251 0.147251
34734 12 1756 1 1900 30 1.26257307536 1.7688 1.76859
81085 12 22980 1 1900 30 0.0545802621297 0.0764179 0.0764147
34673 12 2213 1 1900 30 0.0635353979472 0.089033 0.0890173
46990 13 4521 1 5400 40 0.231024238892 0.324018 0.323979
46989 13 18812 1 1900 30 0.0219678798897 0.0309465 0.0309195
89395 13 38 1 1900 30 0.453188579082 0.643859 0.647885
69023 14 10708 1 1900 30 0.0783778112363 0.109745 0.109811
17988 14 12572 1 950 20 0.052915638576 0.0740819 0.0740819
17948 14 9350 1 1900 30 2.19112238324 3.06761 3.06762
17033 15 82 1 1900 30 0.106401265234 0.164582 0.151451
33722 16 4809 1 8100 40 0.723437874478 1.01287 1.01284
26700 16 2150 1 6900 60 0.411800585677 0.576559 0.576555
50429 17 18 1 950 20 0.104150686037 0.145848 0.145848
42178 17 19 1 5400 40 0.227056521732 0.320857 0.323049
50430 18 4536 1 950 20 0.458241818032 0.641539 0.641539
55176 18 6169 1 5400 40 0.228595483978 0.320685 0.320557
42179 19 32 1 5400 40 0.227895952188 0.321343 0.322243
42249 19 26301 1 1900 30 0.152501517746 0.277911 0.250549
92733 20 26491 1 950 20 0.402592917665 0.563904 0.564384
51244 20 26300 1 950 20 0.537056372341 0.75291 0.754273
74415 21 1452 1 1900 30 1.12669493857 1.5845 1.58691
25536 21 2084 1 1900 30 1.11859124541 1.5675 1.56787
59551 22 21297 1 1900 30 1.03221865851 1.45577 1.45573
22329 22 15966 1 1900 30 0.0157123864951 0.0220917 0.0220657
28099 23 7755 1 1900 30 0.0190361193169 0.0268817 0.0270552
76281 23 17813 1 1900 30 0.0996155166832 0.139838 0.139974
76547 23 1935 1 1900 30 0.0882804890063 0.123593 0.123594
22327 24 16359 1 1900 30 0.0197919765252 0.0296521 0.0296437
92743 25 26330 1 5400 40 0.220395251035 0.309002 0.30889
5597 25 108 1 5400 40 0.0914211673412 0.13762 0.140695
5711 26 21820 1 6900 60 0.672909025339 0.94215 0.942149
51840 26 25213 1 8100 40 0.98046486317 1.37265 1.37265
47146 27 5640 1 1900 30 0.133189519343 0.186465 0.186465
46870 27 10109 1 1900 30 0.0933203189029 0.13065 0.130653
44109 28 2908 1 8100 40 0.280388836441 0.392549 0.392548
72357 29 4636 1 950 20 1.61319284643 2.25848 2.25848
80997 29 1508 1 1900 30 1.23223623191 1.72514 1.72514
34617 29 25133 1 1900 30 0.575521338754 0.805739 0.80574
2956 30 26440 1 1900 30 0.305455371714 0.456238 0.451687
55174 30 512 1 5400 40 0.227894902158 0.320127 0.319687
23544 31 25530 1 8100 40 0.230889188201 0.323245 0.323245
10736 31 20835 1 6900 60 0.205930673444 0.288304 0.288304
2955 32 30 1 1900 30 0.0683487942333 0.134954 0.126962
42180 32 111 1 5400 40 0.25073830747 0.35188 0.351721
48746 33 25736 1 1900 30 0.104415951854 0.146187 0.146187
25043 33 17010 1 8100 40 0.10278719139 0.143902 0.143902
90521 33 20175 1 1900 30 0.0368822854114 0.0516352 0.0516352
79131 34 1534 1 1900 30 0.710640250929 0.999679 0.999028
90557 34 3070 1 1900 30 0.769772353152 1.07768 1.07768
51885 35 26487 1 8100 40 0.103283990084 0.144598 0.144598
51383 36 20740 1 950 20 0.142466195613 0.199499 0.199985
52197 36 3147 1 5400 40 0.261808179643 0.383003 0.38149
92333 36 4596 1 950 20 0.0463129869998 0.0649217 0.0649217
9593 37 2900 1 6900 60 0.330189425606 0.462495 0.463154
10243 37 22900 1 8100 40 0.491148127659 0.687608 0.687609
884 38 26473 1 1900 30 0.453859137034 0.637333 0.636869
56591 38 25829 1 1900 30 0.0973137021453 0.155831 0.151267
46993 38 13 1 1900 30 0.453188579082 0.639305 0.638605
18653 39 6762 1 1900 30 0.147923561824 0.210059 0.210925
69517 39 4883 1 1900 30 0.156110237432 0.218833 0.219145
18704 39 4116 1 950 20 7.48587287662 10.4802 10.4802
83843 40 11502 1 1900 30 0.322200516729 0.451081 0.451081
65395 41 24044 1 1900 30 2.0004192407 2.80059 2.80059
12938 41 17398 1 1900 30 3.72719123841 5.21828 5.2183
12350 42 7280 1 6900 60 1.97280828797 2.77315 2.77379
33697 43 20043 1 1900 30 0.282419069313 0.434693 0.401832
92731 43 13005 1 1900 30 0.79833607612 1.34092 1.17452
92265 44 65 1 950 20 0.303516929975 0.424924 0.424972
52473 44 21093 1 950 20 0.428816747937 0.600343 0.600343
94493 45 26402 1 1900 30 0.508984249614 0.824591 0.884407
45917 45 8909 1 1900 30 0.156517648056 0.219125 0.219126
55038 45 47 1 1900 30 0.0683486257471 0.0957118 0.0957406
21871 46 12240 1 1900 30 0.128709717424 0.180196 0.180196
71821 46 11434 1 1900 30 0.982916702721 1.37767 1.37734
78939 46 16602 1 1900 30 0.0855430939557 0.119761 0.119761
94561 47 45 1 1900 30 0.0683486257471 0.11187 0.119815
23744 47 6670 1 1900 30 0.623148457479 0.872605 0.872915
82837 48 18434 1 5400 40 0.267583487967 0.391954 0.387341
51777 48 52 1 5400 40 0.0802518046452 0.112353 0.11237
82669 49 11873 1 950 20 2.25851734129 3.16192 3.16192
73915 50 2160 1 950 20 0.59868434196 0.838158 0.838158
53252 50 2581 1 950 20 1.35496099374 1.89695 1.89695
48878 52 12834 1 5400 40 0.0257763602036 0.0360926 0.0361633
28770 53 21720 1 950 20 3.28762725016 4.60281 4.60281
50164 53 13597 1 5400 40 1.03476337243 1.44962 1.44981
91581 53 16981 1 5400 40 2.17566893346 3.04766 3.048
18375 54 16650 1 5400 40 0.555195868872 0.783557 0.785718
355 54 23623 1 950 20 2.20217010682 3.08304 3.08304
34427 55 11718 1 950 20 1.6366027812 2.30511 2.37547
51298 56 1394 1 1900 30 0.762486647099 1.11464 1.19014
62467 57 5206 1 1900 30 0.0665329166766 0.0931736 0.0931732
9220 57 15142 1 1900 30 0.872908696631 1.5856 1.58246
31333 58 18762 1 1900 30 0.208510413027 0.297235 0.296791
31398 58 12034 1 1900 30 0.251200717541 0.351695 0.351694
43345 59 24538 1 8100 40 0.0958987152115 0.134258 0.134258
25041 59 25251 1 8100 40 0.144986030347 0.20298 0.20298
53199 60 6252 1 6900 60 0.0270554521256 0.0389519 0.0386609
23701 61 6113 1 950 20 1.04277786175 1.45989 1.45989
23690 61 26010 1 950 20 0.618712742275 0.866214 0.866213
73125 61 11894 1 950 20 2.73161290539 3.82426 3.82426
52907 62 286 1 5400 40 0.0331433307443 0.0635428 0.0640118
47994 63 8392 1 1900 30 1.35360105475 1.89637 1.89663
