nid lon lat
1 -71.0684107 42.3516822
2 -71.15443 42.352396
3 -71.22912 42.30049
4 -71.0702917 42.3510683
5 -71.0699053 42.3501491
6 -71.0597551 42.350138
7 -71.0916296 42.350275
8 -71.3325877 42.303203
9 -71.126221 42.350411
10 -71.1003651 42.3503263
11 -71.0276978 42.3682163
12 -71.09618 42.552841
13 -71.132106 42.353061
14 -71.613883 42.431714
15 -70.955726 42.192358
16 -71.5909997 42.3629669
17 -71.0781296 42.351694
18 -71.0783068 42.3520579
19 -71.0759864 42.3522586
20 -71.165115 42.351999
21 -71.361953 42.179753
22 -70.9300126 42.8579316
23 -71.196582 42.390465
24 -70.9301273 42.8580143
25 -71.0536315 42.3536667
26 -71.3018664 41.9591513
27 -71.4927864 42.2967297
28 -71.289672 42.61887
29 -70.769252 42.210512
30 -71.074025 42.3532119
31 -71.664419 42.5165069
32 -71.0738494 42.352854
33 -70.9407422 42.7559083
34 -71.1739424 42.3533894
35 -71.0256742 42.3664276
36 -71.1013033 42.4257604
37 -71.1869961 42.7341265
38 -71.132766 42.355537
39 -71.029447 42.57078
40 -71.711452 42.277188
41 -70.792544 42.62654
42 -71.3447509 42.0398711
43 -70.905197 42.131685
44 -71.098904 42.309244
45 -71.1154837 42.3096805
46 -70.888109 42.710403
47 -71.1155875 42.3093086
48 -71.121923 42.309831
49 -71.290301 41.864133
50 -71.050434 42.309431
52 -71.1219847 42.3092495
53 -71.145437 42.007249
54 -71.3459099 42.3014558
55 -71.113909 42.539283
56 -71.065698 42.308591
57 -71.172098 42.748042
58 -71.4481122 42.4741688
59 -70.942514 42.757649
60 -71.0624923 42.0712694
61 -71.680905 42.44457
62 -71.1217831 42.3086484
63 -71.453525 42.44481
64 -71.330455 42.647588
65 -71.097926 42.310036
66 -71.106998 42.310463
67 -71.092078 42.309947
68 -71.10732 42.309991
69 -71.0798846 42.3503105
70 -71.0278138 42.3682044
71 -71.104544 42.790823
72 -71.0601654 42.3098424
73 -70.707242 41.964269
74 -70.8927811 42.166008
