ID avtt sigmatt
32052 4 0
14173 4 0
16983 3 0
35175 4 0
4751 3 0
41831 56 0
46287 34 0
29258 32 0
42507 89 0
19069 4 0
8073 12 0
43589 5 0
46027 39 0
26101 17 0
30354 113 0
13859 3 0
13867 23 0
35147 4 0
4730 3 0
6863 47 0
35157 3 0
4772 4 0
47181 112 0
35167 4 0
4750 15 0
35159 4 0
19041 140 0
19047 32 0
42497 454 0
47831 58 0
32518 73 0
18919 38 0
28113 3 0
34325 4 0
28288 4 0
18847 4 0
9429 105 0
28390 7 0
7647 8 0
22841 6 0
19140 104 0
27998 3 0
34841 3 0
4169 3 0
13088 4 0
10136 41 0
10131 5 0
13090 4 0
13097 9 0
13091 4 0
4760 9 0
40939 4 0
30957 13 0
35423 232 0
16262 4 0
25303 4 0
45675 4 0
6690 26 0
45677 4 0
23773 6 0
25297 4 0
9149 13 0
17818 22 0
18791 18 0
25699 3 0
25701 3 0
10989 4 0
10346 3 0
46851 78 0
734 92 0
27680 6 0
35173 3 0
35165 9 0
4768 3 0
46645 3 0
31860 5 0
27315 3 0
36409 258 0
17252 49 0
4746 10 0
26292 9 0
27560 7 0
46763 12 0
38363 17 0
11212 11 0
4755 3 0
39569 13 0
31870 5 0
13551 12 0
39431 139 0
40675 3 0
15836 4 0
402 6 0
20712 4 0
20745 11 0
29717 4 0
20594 4 0
28391 4 0
26603 4 0
21280 4 0
16854 45 0
41263 297 0
40087 187 0
47227 14 0
28557 13 0
44911 93 0
21065 4 0
20410 4 0
11823 3 0
7115 12 0
20622 17 0
4179 3 0
34851 3 0
11772 34 0
10347 6 0
6352 163 0
35949 49 0
13354 355 0
14935 40 0
39433 355 0
40207 91 0
13352 139 0
48211 121 0
25064 35 0
32941 273 0
48193 4 0
20575 6 0
20580 4 0
20573 40 0
20576 8 0
28383 48 0
45825 3 0
3508 67 0
43311 6 0
20577 7 0
6036 3 0
31186 10 0
22324 4 0
26622 3 0
6037 21 0
20717 4 0
20718 13 0
32430 4 0
8815 4 0
19183 3 0
26212 3 0
20218 4 0
42195 4 0
43133 45 0
13165 8 0
5385 13 0
31907 3 0
26536 4 0
14229 4 0
11903 5 0
8820 4 0
31726 10 0
4181 3 0
34839 3 0
33161 73 0
791 265 0
40089 192 0
48535 35 0
31340 4 0
26040 29 0
47955 3 0
8660 8 0
36729 15 0
7303 4 0
11902 4 0
11904 22 0
43309 40 0
20578 4 0
18711 119 0
16116 143 0
16990 6 0
20579 4 0
3465 4 0
9573 6 0
16119 4 0
22990 78 0
40989 397 0
13047 152 0
39251 229 0
27283 4 0
25642 4 0
13682 33 0
45171 3 0
24350 3 0
1282 8 0
37211 5 0
31941 342 0
27435 3 0
31783 21 0
2230 15 0
1485 5 0
1473 7 0
33453 4 0
28741 4 0
6129 11 0
5280 166 0
41265 6 0
35447 23 0
37609 37 0
18574 27 0
18717 5 0
33451 7 0
1481 3 0
13250 60 0
13145 4 0
28735 18 0
22887 29 0
12208 19 0
22774 34 0
10913 12 0
31216 4 0
8356 4 0
26567 4 0
12098 3 0
1479 3 0
33459 3 0
19481 8 0
43993 36 0
28743 71 0
28747 16 0
30092 14 0
13823 24 0
27089 3 0
29220 7 0
2439 8 0
27091 3 0
3532 4 0
9271 25 0
2233 13 0
7495 3 0
42589 17 0
20725 4 0
2234 39 0
3325 3 0
48931 7 0
25417 59 0
32236 9 0
3328 3 0
3329 3 0
29899 9 0
3330 3 0
12937 3 0
7499 4 0
21365 35 0
9515 4 0
48001 113 0
22773 11 0
46705 6 0
38207 12 0
27433 6 0
