eid source target dir capacity speed_mph cost_time tt_user tt_soc
32052 1 13633 1 950 20 0.0753418382673 0.0753421 0.0763401
14173 1 10990 1 950 20 0.0445992379422 0.104221 0.0621849
16983 2 17495 1 6900 60 0.00521836066945 0.00528716 0.00526297
35175 3 10 1 1900 30 0.0482196251065 0.0482196 0.0482196
4751 3 3844 1 1900 30 0.0216346547918 0.021673 0.0217468
41831 4 3307 1 950 20 1.14243985376 1.14246 1.14246
46287 4 9852 1 950 20 0.685838532377 0.685839 0.685839
29258 4 11366 1 950 20 0.650011128701 0.650013 0.650013
42507 5 16731 1 950 20 1.81333204589 1.81335 1.81335
19069 5 675 1 950 20 0.0223026543497 0.0223028 0.022303
8073 6 11330 1 1900 30 0.21533384449 0.235002 0.236689
43589 6 8990 1 1900 30 0.0732304138762 0.0732304 0.0732304
46027 7 11401 1 950 20 0.785956901544 0.785957 0.785957
26101 7 8547 1 950 20 0.342102817465 0.342103 0.342103
30354 7 140 1 950 20 2.2980789558 2.29808 2.31066
13859 8 3545 1 5400 40 0.0290181037977 0.0290182 0.0290182
13867 8 362 1 8100 40 0.435080589619 0.436166 0.436666
35147 9 18401 1 1900 30 0.0645118418161 0.0645118 0.0645118
4730 9 18397 1 1900 30 0.0179580863827 0.0179581 0.0179581
6863 9 3745 1 8100 40 0.935158312407 0.935158 0.935158
35157 10 18352 1 1900 30 0.0457643301863 0.0457643 0.0457643
4772 10 3 1 1900 30 0.0482196251065 0.0482797 0.0484109
47181 10 14015 1 5400 40 2.25453799875 2.25454 2.25466
35167 11 18368 1 1900 20 0.0717822870315 0.0717823 0.0717823
4750 11 4050 1 1900 30 0.279874468648 0.279875 0.279875
35159 11 18387 1 1900 20 0.0690280382975 0.069028 0.069028
19041 12 2204 1 950 20 2.87134286365 2.87135 2.87135
19047 12 7789 1 950 20 0.651617013685 0.651621 0.651627
42497 12 9078 1 950 20 9.30581348716 9.30581 9.30581
47831 13 2066 1 950 20 1.17632241422 1.17632 1.17632
32518 13 17766 1 950 20 1.4964860552 1.49649 1.49649
18919 14 12431 1 6900 60 0.718370995872 0.74097 0.7391
28113 15 6966 1 1900 30 0.0471867941501 0.0471868 0.0471868
34325 15 6965 1 1900 30 0.0548391287091 0.0548391 0.0548391
28288 15 6958 1 1900 30 0.0561223786599 0.0561258 0.0561258
18847 16 3554 1 950 20 0.0192182742815 0.0192184 0.0192184
9429 16 3669 1 950 20 2.14721525833 2.14722 2.14722
28390 17 12546 1 950 20 0.123237884191 0.130338 0.128188
7647 17 8732 1 950 20 0.147389357154 0.147389 0.147389
22841 18 10571 1 950 20 0.117060460347 0.831779 0.572013
19140 18 5886 1 950 20 2.12930857293 3.01642 2.93966
27998 19 13608 1 5400 40 0.0322672273427 0.0323365 0.03236
34841 19 6779 1 5400 40 0.0172577001409 0.0172577 0.0172577
4169 19 84 1 5400 40 0.0282613247754 0.0282613 0.0282614
13088 20 14047 1 5400 40 0.0517386591286 0.0520945 0.0519278
10136 21 18409 1 950 20 0.829552552701 0.829553 0.829722
10131 21 5757 1 950 20 0.10117641672 0.101177 0.101176
13090 22 24 1 5400 40 0.05618183522 0.0561879 0.0561856
13097 22 32 1 5400 40 0.143470482649 0.144384 0.143927
13091 24 10162 1 5400 40 0.0552829718515 0.0553474 0.0553307
4760 25 37 1 1900 30 0.170126785758 0.170127 0.170127
40939 26 27 1 950 20 0.080413157855 0.0855721 0.082684
30957 26 2501 1 950 20 0.263369950257 0.265082 0.265409
35423 27 16633 1 950 20 4.74563286211 5.04634 4.87743
16262 27 26 1 950 20 0.080413157855 0.0810249 0.0811355
25303 28 3644 1 950 20 0.0393275673292 0.0393276 0.0396803
45675 28 30 1 950 20 0.0601854791501 0.0601855 0.0601855
6690 29 12336 1 6900 60 0.484489218541 1.16165 0.932777
45677 30 3640 1 950 20 0.0450533482572 0.0450533 0.0450533
23773 30 1233 1 950 20 0.10550359488 0.105504 0.105504
25297 30 28 1 950 20 0.0601854791501 0.0601855 0.0607277
9149 31 9289 1 1900 30 0.246185731061 0.246645 0.246556
17818 31 8930 1 8100 40 0.417104866485 0.417105 0.417105
18791 32 1864 1 1900 30 0.345075284484 0.351559 0.34674
25699 32 7938 1 5400 40 0.0302078469461 0.030223 0.0302203
25701 33 18202 1 5400 40 0.0152052005028 0.0153081 0.0152525
10989 34 5056 1 5400 40 0.0459652394547 0.046071 0.046074
10346 35 59 1 1900 30 0.00622411328005 0.00624163 0.00623562
46851 36 14448 1 5400 40 1.5614878607 1.56149 1.56149
734 36 9057 1 950 20 1.88068740872 1.88069 1.88069
27680 36 17187 1 5400 40 0.0880473585255 0.0880479 0.0880479
