source destination
1 8052
1 14490
1 14738
1 2343
1 7372
1 9165
1 10916
1 11379
1 15889
1 12406
1 5947
1 10218
1 11167
1 15338
2 15433
2 13054
2 10174
2 10721
2 6468
2 6693
2 11144
2 13346
2 12711
2 7161
2 805
2 13012
2 17244
2 17364
2 14046
2 10069
2 4253
2 18300
2 8610
3 13192
3 2611
3 12050
3 4444
3 2580
3 4383
3 1191
3 7120
3 10659
3 11292
3 11292
3 7033
3 8083
4 10572
4 12805
4 15982
4 10720
4 4940
4 10928
4 7986
6 14294
6 3543
6 15899
6 11136
6 6730
6 2230
6 5039
6 3775
6 1085
6 12323
6 17879
6 1501
6 10718
6 7272
6 10228
6 17750
6 7646
6 18242
7 8004
7 9856
7 16405
7 6634
7 17369
7 5395
7 13492
7 11491
7 6270
7 5917
7 65
7 3101
7 1512
7 15762
7 2234
7 4539
7 2651
7 8340
7 6135
7 17069
7 2812
7 7016
7 8423
7 6765
7 8671
7 14491
7 11144
7 2435
7 5156
7 827
7 1506
7 10728
7 3586
7 6690
7 5618
7 7803
7 8379
7 1649
7 3762
7 5656
7 9678
7 15466
7 183
7 14025
7 14064
7 14075
7 16103
8 8684
8 2471
8 13904
8 13641
8 8825
8 9203
8 2379
8 13343
8 2580
8 6785
8 7452
8 6257
8 16819
8 3452
8 13250
8 5871
9 5286
9 5702
9 672
9 693
9 4190
9 3061
9 5513
9 13218
10 14290
10 10274
10 625
10 10945
10 4149
10 4209
10 11618
10 12377
10 13496
10 11610
10 6304
10 16733
10 5079
10 2443
10 5795
10 8283
10 13614
10 13975
10 14160
10 1616
11 7193
11 15761
11 505
11 1406
11 12412
11 6834
11 15499
11 1823
11 148
11 1181
11 6253
11 6498
11 7040
11 6003
14 3325
14 2356
15 7731
15 7731
15 15554
16 1586
16 15493
16 14098
16 3701
16 6871
16 8255
16 13239
16 13319
16 16614
16 5425
16 17925
16 18197
16 16594
16 16930
16 13390
16 8220
17 7547
17 309
17 291
17 15339
17 18057
17 12788
17 4728
17 7321
18 15157
18 624
18 2219
18 10113
18 1254
18 15888
18 12301
18 3850
18 6276
18 7404
18 16207
18 16207
18 10792
18 2684
19 10826
19 12960
19 2555
19 5282
19 1510
19 12260
19 17937
19 3601
19 10434
19 12861
19 282
19 11147
19 5616
19 9039
19 11772
19 3539
19 1257
19 4500
19 3571
19 2165
19 5901
20 9220
20 11701
20 6726
20 795
20 8838
20 17164
20 9451
20 16520
20 8185
20 2494
20 5663
20 4185
20 11571
20 4588
20 9857
20 11176
20 12703
20 12456
20 17064
20 10688
20 4662
20 3718
20 6047
20 6136
21 11621
21 2046
21 5847
21 369
21 15389
21 10346
21 16592
21 5539
21 17978
21 5335
21 12883
21 14279
21 16296
21 13836
21 5707
21 11555
21 11561
21 12310
21 11763
21 11780
21 14420
21 15766
22 2685
22 9968
22 660
22 13513
22 4722
22 11710
22 15439
22 5099
22 7441
22 13585
22 9330
22 16416
24 12914
24 16856
24 5998
24 532
24 16488
24 14445
24 1602
24 8565
24 17582
24 17790
24 349
24 2148
25 661
25 12673
25 15589
25 16040
25 3954
25 1195
25 12786
25 1152
25 6866
25 5843
26 3772
26 5005
26 4108
26 12110
26 2172
26 13082
26 7192
26 12296
26 3536
26 10237
26 5106
26 15917
26 6257
26 13551
26 12679
26 10761
26 17114
27 9352
27 9506
27 802
27 5201
27 294
27 17256
27 12276
27 15446
27 6743
27 16785
27 409
27 9490
27 6030
27 6387
27 1351
28 4815
28 18135
28 2983
28 9137
28 6368
28 6381
28 10489
28 12730
28 13802
28 7186
28 9970
28 18034
28 7320
28 4377
28 16655
28 15337
28 13879
28 2578
28 15020
28 6573
28 16041
28 17065
28 4375
30 16420
30 12461
30 16595
30 12774
30 13147
30 2006
30 13388
30 6444
30 1140
30 9546
30 10462
30 9414
30 17446
30 12649
30 4878
31 1257
31 7996
31 6919
31 1948
31 3571
31 1726
31 12636
31 9601
31 1963
31 3820
31 3340
31 6080
31 12180
31 15698
31 17956
32 9032
32 11884
32 10580
32 8273
32 12684
32 17204
32 12775
32 3574
32 15095
32 9693
32 1836
32 8208
32 13841
32 14852
32 8873
33 11650
33 10672
33 10682
33 2118
33 6521
33 12368
33 1548
33 12265
33 1230
33 2884
33 1994
34 11194
34 4578
34 13310
34 11347
34 14260
34 7636
34 17195
34 14337
34 10939
34 3027
34 18376
34 11594
34 1300
34 80
34 11822
34 17617
34 1302
34 15984
34 7486
35 5920
35 3893
35 1232
35 2922
35 10116
35 3298
35 3962
35 5155
35 5254
35 7614
35 9762
35 14757
35 15527
35 16931
35 1622
35 13725
35 11650
35 397
35 11864
35 13006
35 16464
35 15766
35 16749
37 3960
37 15968
37 5614
37 10560
37 12354
37 2510
37 3018
37 9990
37 14032
37 5220
37 6359
37 2939
37 15431
38 13081
38 2324
38 4842
38 45
38 1438
38 2295
38 14834
38 12070
38 2897
38 11917
38 2816
38 14857
38 3197
38 5592
38 17398
38 12182
38 17678
38 7687
38 13132
38 9906
38 12433
38 1972
38 9242
40 1355
40 4203
40 13890
40 1195
40 18043
41 6334
41 15992
41 6031
41 6982
41 13313
41 15336
41 3538
41 12463
41 6743
41 840
41 6645
41 14198
41 16267
41 721
41 9410
41 13867
41 16146
41 12776
41 7665
41 12722
41 15329
41 11581
41 7996
41 17837
41 10939
41 8101
41 11949
41 8220
41 17410
42 2699
42 12657
42 16201
42 14758
42 15671
42 2126
42 15484
42 14453
42 2074
42 16677
42 5487
42 17433
42 14421
42 3336
42 5548
42 15757
42 6030
42 952
42 14291
42 5156
42 16203
42 2513
42 9184
42 14787
42 16925
43 7712
43 5542
43 10476
43 9702
43 9858
43 15132
43 643
43 3661
43 12965
43 6719
43 8626
43 16802
43 6189
43 7580
43 2703
43 10877
44 14099
44 9668
44 12873
44 17047
44 5952
44 4355
44 12382
44 12682
44 2088
44 15768
44 7752
44 9208
44 18115
44 7061
44 15743
45 9979
45 1797
45 16055
45 11697
45 11209
45 14060
45 14779
45 16051
45 6131
45 7065
45 5377
45 9924
45 16673
45 15728
45 13046
45 15706
45 12849
45 2480
45 5481
45 5763
46 11023
46 15437
46 12187
46 6284
46 988
46 14871
46 17893
46 9242
46 13879
46 2332
46 13922
46 8055
46 13274
46 3352
46 9089
46 2459
46 16412
46 5816
46 16110
46 402
46 13392
47 8456
47 12960
47 12965
47 9788
47 14184
47 17026
47 4091
47 12499
47 12375
47 7986
47 8083
47 8083
47 7721
47 12079
47 14307
47 504
47 15132
47 5932
47 2263
47 11283
47 5921
47 15018
48 5007
48 6514
48 3656
48 16599
48 8743
48 13272
48 17547
48 1914
48 6151
48 7469
48 14274
48 14398
48 7764
48 6513
48 5750
48 10393
49 4195
49 8225
49 6051
49 18220
49 1429
49 3901
49 17179
49 5033
49 230
49 9358
49 11335
49 14927
49 14774
49 3295
49 16690
49 266
49 9002
49 14665
49 234
49 8863
49 12325
49 3647
49 957
49 3762
49 6481
49 16246
49 4189
49 7093
49 10995
49 9519
49 5257
49 9889
49 4833
49 12277
50 7409
50 263
50 10188
50 18180
50 5586
50 7540
50 15868
50 15621
50 3419
50 469
50 9419
50 10115
50 7586
50 13972
50 2539
50 9918
50 2964
50 5865
50 5876
50 5511
50 13327
51 16505
51 17153
51 12286
51 12073
51 15250
51 11498
51 8694
51 7418
51 13481
51 9284
52 6546
52 9465
52 10614
52 18222
52 11036
52 11514
52 4227
52 5879
52 11146
52 11479
52 3216
52 9226
52 4851
52 11639
52 1915
52 15562
52 15543
52 14598
52 6031
52 4781
52 2037
52 8616
52 15171
52 16745
52 11518
53 13008
53 14154
53 2122
53 9469
53 12853
53 481
53 5184
53 9625
53 3066
53 6092
53 18058
53 10235
53 7819
53 17290
53 17579
54 8602
54 13510
54 4691
54 11231
54 15335
54 7161
54 17098
54 4227
54 755
54 7497
54 7065
54 10126
54 15001
54 8567
54 5729
54 7450
54 14497
54 16862
54 17737
54 10578
54 10711
54 2036
54 12012
54 3089
54 3403
54 6214
54 15755
54 16075
54 3790
54 16780
55 14708
55 11602
55 3371
55 16974
55 18272
55 14108
55 8626
55 15713
55 4303
55 7960
55 3736
55 9818
55 17051
55 17145
55 11198
55 7745
55 8164
55 470
56 10149
56 4494
56 7298
56 6563
