eid source target dir capacity speed_mph cost_time tt_user tt_soc
20984 1 7361 1 950 20 0.579893983891 0.579894 0.579894
3780 1 27 1 950 20 0.0448089652913 0.0448095 0.0448114
9968 2 2249 1 8100 40 0.439615544451 0.444568 0.44054
7447 3 9732 1 5400 40 0.082405165602 0.0824087 0.0824307
22016 3 8221 1 1900 30 0.674298912167 0.674387 0.707709
22264 3 2031 1 1900 30 0.0102699939856 0.01027 0.01027
12400 4 9282 1 8100 40 0.0342707087105 0.0342707 0.0342707
16071 4 3287 1 8100 40 0.0238006478244 0.0238006 0.0238006
9161 5 3212 1 950 20 0.215656318195 0.216033 0.215965
860 6 8 1 950 20 0.0173634082662 0.0173634 0.0173634
862 7 515 1 950 20 0.0421220780675 0.0421221 0.0421221
16902 8 9666 1 950 20 0.0707606073874 0.0707606 0.0707606
861 8 7 1 950 20 0.0435933144512 0.0435933 0.0435933
26848 9 10864 1 5400 40 0.110483863056 0.110497 0.110615
14975 9 10543 1 5400 40 0.0669137991851 0.066923 0.0669238
16914 10 7282 1 950 20 0.0674808439204 0.0776328 0.0746639
864 10 14 1 950 20 0.0387442754425 0.0387443 0.0387443
18855 11 9 1 5400 40 0.252958127959 0.252959 0.252959
7180 11 5946 1 1900 30 0.0126025627752 0.0126056 0.0126056
22970 11 23 1 1900 30 1.90294587899 1.90356 1.90356
9955 12 6284 1 6900 60 0.131694912943 0.139842 0.139277
2642 13 7801 1 8100 40 1.07932978928 1.07968 1.0795
214 13 2223 1 6900 60 0.270164497108 0.279364 0.281479
865 14 6 1 950 20 0.0154680364169 0.015468 0.015468
17268 15 16 1 5400 40 0.0301874034963 0.0301874 0.0301874
3900 16 2082 1 5400 40 0.00935406209707 0.00935406 0.00935406
19968 17 2161 1 950 20 0.411074510991 0.41112 0.411119
7211 17 2154 1 950 20 0.137607488276 0.509358 0.391213
11616 18 5578 1 5400 40 0.0891134389481 0.0891375 0.0897935
12900 18 69 1 5400 40 0.0107450508478 0.0107584 0.0107726
25708 18 10759 1 5400 40 0.0176937851755 0.0176938 0.0176938
19922 19 1248 1 950 20 0.833572173393 0.833576 0.833576
3896 19 4475 1 950 20 0.0497127057117 0.0497127 0.0497127
5532 20 1218 1 1900 30 0.0588358687132 0.0588359 0.0588359
13936 20 1206 1 1900 30 0.0930884238055 0.0930884 0.0930884
5553 21 10460 1 5400 40 0.177214738402 0.177215 0.177215
21998 21 1180 1 5400 40 0.159075408614 0.159075 0.159075
13944 21 1223 1 1900 30 0.0141707164515 0.0141707 0.0141707
9803 22 7377 1 5400 40 0.863695670878 0.863764 0.863779
21886 22 69 1 5400 40 0.0148081480596 0.0148082 0.0148092
5270 22 10759 1 5400 40 0.0191540646899 0.0191541 0.0191541
7182 23 11 1 1900 30 1.90294587899 1.91132 1.91161
8844 23 10695 1 1900 30 0.0587749902366 0.0587911 0.0587912
1388 25 10688 1 5400 40 0.034774165015 0.0347743 0.0347743
19826 25 26 1 5400 40 0.096946591954 0.0969819 0.0969536
805 26 10841 1 5400 40 0.0556513275719 0.0556705 0.055655
1400 26 25 1 5400 40 0.096946591954 0.096947 0.0969469
3778 27 10922 1 950 20 0.0573511431983 0.0573515 0.0573531
18988 28 3506 1 8100 40 0.743360636076 0.743361 0.743362
1401 29 5472 1 5400 40 0.0271508486665 0.0271519 0.0271522
24678 29 795 1 5400 40 0.169365239746 0.169374 0.169373
1572 30 299 1 8100 40 0.125159861036 0.125162 0.125163
14021 31 32 1 1900 30 0.0227965917085 0.0229832 0.0228866
26340 31 7008 1 1900 30 0.0702545937953 0.0702546 0.0702546
14027 32 274 1 1900 30 0.00864954783627 0.00871339 0.00867968
26338 32 31 1 1900 30 0.0227965917085 0.0227966 0.0227966
21786 33 9729 1 950 20 0.08803795656 0.088038 0.088038
2671 33 2948 1 950 20 0.0456742454388 0.0456742 0.0456742
16669 34 451 1 5400 40 0.0890888298125 0.0892465 0.0891729
2118 34 2629 1 5400 40 0.0421237772912 0.0423215 0.0422451
5907 35 450 1 1900 30 0.29648953334 0.29649 0.29649
13056 35 8606 1 5400 40 0.793197395233 0.793198 0.793206
23586 36 9064 1 950 20 0.078890645805 0.0788906 0.0788906
6668 36 8993 1 950 20 0.769839094194 0.769851 0.774996
8525 36 1251 1 950 20 0.0886271335339 0.0886308 0.0886308
6328 37 7638 1 6900 60 0.310102548643 0.330586 0.32334
18861 37 3111 1 8100 40 0.346124718403 0.347051 0.346535
24290 38 83 1 950 20 0.220332398413 0.220973 0.220973
9959 38 76 1 950 20 0.191902921615 0.399774 0.399774
5414 39 7586 1 5400 40 0.0580805263378 0.0590899 0.058695
5419 40 601 1 5400 40 0.163013780359 0.163014 0.163017
5418 41 5150 1 5400 40 0.0933573643548 0.0933575 0.0933592
5408 43 55 1 5400 40 0.142018227291 0.142018 0.142018
10427 44 1879 1 5400 40 0.0248788548603 0.0248789 0.0248789
24520 44 543 1 5400 40 0.00825333570797 0.00825334 0.00825334
15096 45 2476 1 6900 60 0.0306990433163 0.0310428 0.0312631
3156 46 310 1 5400 40 0.121636421682 0.121683 0.121674
15093 47 3200 1 6900 60 0.0305081589521 0.0307862 0.0308379
15090 48 2480 1 6900 60 0.418832969972 0.423019 0.425796
5413 49 43 1 5400 40 0.0573944379389 0.0573944 0.0573944
1795 50 52 1 5400 40 0.0379109435492 0.0379109 0.0379109
20010 50 102 1 5400 40 0.148763030526 0.148763 0.148763
5719 51 1714 1 5400 40 0.0477919948724 0.0477921 0.0477922
19028 51 2116 1 5400 40 0.0595692187554 0.0595693 0.0595693
5184 52 3937 1 950 20 0.0285339801953 0.0285347 0.0285347
7953 52 7025 1 5400 40 0.0105388464404 0.0105389 0.0105389
8286 53 8879 1 950 20 4.30400798745 4.30401 4.30401
26134 53 1215 1 5400 40 2.50774501075 2.50775 2.50775
5975 54 3249 1 8100 40 0.215109607032 0.215132 0.215122
5421 55 3783 1 5400 40 0.0289673335753 0.0289674 0.0289681
11825 56 3888 1 6900 60 0.0433675442706 0.0433878 0.0433795
3643 57 963 1 6900 60 0.648898930363 0.715523 0.70375
12661 58 9811 1 950 20 0.0790471137403 0.0790471 0.0790669
3525 58 6062 1 950 20 1.42307395891 1.42347 1.45171
20854 58 4623 1 950 20 0.0381154555846 0.0382157 0.0383792
4516 59 595 1 5400 40 0.266630463696 0.270092 0.269993
8687 59 4155 1 950 20 0.222585189273 0.222585 0.222585
18838 60 1341 1 6900 60 0.0693510927698 0.069389 0.0694109
10624 61 5095 1 950 20 0.0891614498134 0.0900609 0.0900224
272 63 2951 1 8100 40 0.131761701933 0.132802 0.132227
2757 63 1863 1 8100 40 0.409767561107 0.409836 0.409811
14852 64 5480 1 950 20 0.313316307062 0.313316 0.313316
26770 64 4357 1 950 20 0.0621410348373 0.062141 0.062141
26824 64 4038 1 950 20 0.114134387525 0.114134 0.114134
11064 65 6444 1 1900 30 0.36146965723 0.361475 0.361476
13442 65 308 1 1900 30 0.276613271363 0.276613 0.279713
3825 67 10683 1 950 20 1.76113484681 1.76113 1.76113
9148 68 1849 1 950 20 0.0750361850729 0.0760214 0.0758902
5577 69 7913 1 5400 40 0.53496035866 0.535615 0.536312
25706 69 18 1 5400 40 0.0107450508478 0.0107481 0.0108287
5272 69 22 1 5400 40 0.0148081480596 0.0148081 0.0148081
26608 70 3130 1 1900 30 0.0633767337355 0.0633996 0.0633992
19238 71 329 1 950 20 1.07156171607 1.53516 1.53516
20838 71 9603 1 950 20 1.72740474384 1.72817 1.72817
142 71 5727 1 950 20 2.3170895786 2.31709 2.31709
9962 72 269 1 8100 40 0.420943474244 0.420961 0.421014
5444 73 2537 1 1900 30 0.0319181110159 0.0319194 0.0319196
11960 73 6313 1 1900 30 1.29961173997 1.29961 1.29961
24240 74 7145 1 1900 30 8.80980830651 8.80981 8.80981
3420 75 344 1 950 20 0.0770534973922 0.077056 0.0770561
20788 75 338 1 5400 40 0.0132511583669 0.0132512 0.0132512
9973 76 10450 1 950 20 0.0843686626882 0.175713 0.175713
24292 76 38 1 950 20 0.191902921615 0.192682 0.192682
20784 77 338 1 5400 40 0.0101782259321 0.0101782 0.0101782
18713 77 9287 1 5400 40 0.133227463299 0.133227 0.133228
6210 79 2019 1 950 20 0.0891638254912 0.0891638 0.0891638
4654 79 5566 1 950 20 2.57830660457 2.57831 2.57831
18401 80 82 1 8100 40 0.0857345373406 0.0858766 0.0859933
10602 80 5868 1 950 20 0.0407586294767 0.0407586 0.0407586
9940 81 282 1 8100 40 0.0778666351194 0.0779176 0.077918
18403 82 88 1 8100 40 0.229561493983 0.229599 0.229595
18402 82 87 1 8100 40 0.534448237437 0.534479 0.534571
27554 83 1173 1 950 20 0.52485418077 0.525913 0.525913
9957 83 38 1 950 20 0.220332398413 0.459113 0.459113
16820 84 728 1 950 20 0.0469280073585 0.0469321 0.046932
27896 84 10546 1 950 20 0.202181749548 0.203363 0.203361
7276 85 946 1 8100 40 0.259928454914 0.260501 0.260736
3430 86 89 1 5400 40 0.0717305772167 0.0755241 0.075065
20496 86 3654 1 5400 40 0.550386934527 0.616471 0.588556
17299 87 10490 1 6900 60 0.01394856559 0.0140399 0.014081
15184 88 404 1 6900 60 0.689669751987 0.729376 0.715325
20794 89 86 1 5400 40 0.0717305772167 0.0803824 0.076731
12999 89 4366 1 5400 40 0.553070700901 0.581885 0.578386
23578 90 1633 1 1900 30 0.099499759705 0.0994998 0.0994998
8559 90 6590 1 1900 30 0.152825153748 0.152825 0.152825
27816 92 8917 1 950 20 0.315925627712 0.315926 0.315985
27818 92 5215 1 950 20 0.144013068152 0.144013 0.144013
18574 93 9198 1 6900 60 0.0123426673785 0.0123427 0.0123427
23062 94 5489 1 5400 40 0.0095350212775 0.00953502 0.00953502
7476 94 5531 1 5400 40 0.0412945943995 0.0412946 0.0412946
18203 94 9009 1 5400 40 0.241867132324 0.241867 0.241867
15163 95 96 1 8100 40 0.0853535339489 0.0853555 0.0853553
10599 96 8256 1 950 20 0.112600312037 0.125238 0.124029
18407 97 3012 1 6900 60 0.191338875172 0.19252 0.19306
9738 98 5689 1 5400 40 0.0839610963238 0.0839611 0.0839611
24946 98 6238 1 5400 40 0.117003944185 0.117004 0.117004
11325 99 1200 1 1900 30 1.98742852969 1.98743 1.98743
28906 99 6987 1 1900 30 2.39199659472 2.392 2.392
24992 99 8959 1 1900 30 1.34641866778 1.34642 1.34642
15955 100 3898 1 1900 30 0.159948219703 0.159954 0.159956
11624 101 9297 1 950 20 0.575313775945 0.575314 0.575314
1793 102 50 1 5400 40 0.148763030526 0.148763 0.148763
24740 102 7594 1 5400 40 1.05643027864 1.05643 1.05643
18777 102 130 1 950 20 0.261046919138 0.261047 0.261047
279 103 1508 1 5400 40 0.0130109820051 0.013011 0.013011
5335 104 1845 1 1900 30 0.406933619031 0.406934 0.406934
16731 104 150 1 1900 30 0.516666130768 0.516678 0.516678
10515 105 8096 1 1900 30 0.0578734995755 0.0587518 0.0590353
29036 105 3354 1 1900 30 0.0314107608246 0.0314108 0.0314108
7599 106 6800 1 6900 60 0.081799978568 0.0818 0.0818
11323 106 1966 1 8100 40 0.424237238657 0.424237 0.424237
6367 107 5500 1 6900 60 0.0348494424912 0.0348945 0.0349053
12895 108 2742 1 5400 40 0.0721051657513 0.0721505 0.0721583
12191 7869 8815 1 5400 40 0.0306273 0.0306489 0.0306513
1396 109 10716 1 950 20 0.0883827287582 0.331823 0.187526
26502 109 6261 1 950 20 1.34767518855 1.34773 1.34773
28844 110 9480 1 5400 40 0.00951748358494 0.00951748 0.00951748
18658 110 8929 1 5400 40 0.0118719320087 0.011872 0.011872
27076 110 2844 1 5400 40 0.787566401249 0.787567 0.787567
3917 111 6835 1 1900 30 0.100619430543 0.100619 0.100619
11890 112 10672 1 1900 30 0.225865554925 0.231785 0.242519
11887 113 8770 1 1900 30 0.0699935801195 0.0699936 0.0699955
19554 114 9944 1 1900 30 1.40574556864 1.40575 1.40575
2779 114 116 1 1900 30 0.105048617619 0.105051 0.105051
13477 115 6924 1 1900 30 0.144673652557 0.145035 0.150425
26050 115 5132 1 1900 30 1.06248789879 1.0628 1.06296
8211 116 3920 1 1900 30 0.0109288655066 0.0109289 0.0109289
20492 116 114 1 1900 30 0.105048617619 0.105049 0.105049
26578 117 506 1 950 20 0.681760854598 0.681761 0.681761
14445 117 118 1 950 20 0.0619151379882 0.0619151 0.0619151
16027 118 5027 1 950 20 4.42857679579 4.42858 4.42858
26576 118 117 1 950 20 0.0619151379882 0.0619151 0.0619151
14631 119 1892 1 5400 40 0.0343880500806 0.0343881 0.0343881
26640 119 4421 1 5400 40 1.12279339257 1.12279 1.12279
14629 119 3590 1 950 20 0.0921801338689 0.0921801 0.0921801
1420 120 1210 1 950 20 1.66221502118 1.66222 1.66222
29042 120 7356 1 950 20 3.34351290243 3.34351 3.34351
2445 121 5073 1 5400 40 0.181380425296 0.181635 0.181635
27936 122 10584 1 1900 30 1.14436172524 1.14436 1.14436
16992 122 2876 1 1900 30 0.0778761974749 0.0778885 0.0780274
5177 123 439 1 1900 20 0.0828518020826 0.0830125 0.0830145
23766 123 517 1 5400 40 0.132242734011 0.132243 0.132243
8951 123 10767 1 5400 40 0.0419363135684 0.0419516 0.0419486
7080 124 1973 1 6900 60 0.0809108401096 0.0809142 0.0809148
13908 125 9612 1 5400 40 0.0296150933204 0.0296268 0.0296247
9939 126 30 1 8100 40 0.625152801736 0.625153 0.625153
14653 127 1569 1 5400 40 0.0418654234276 0.0429069 0.0441666
1939 127 5733 1 1900 30 0.262365712561 0.262366 0.262366
17987 128 10426 1 1900 30 0.353949792624 0.353956 0.354128
18395 129 9173 1 5400 40 0.175411336252 0.175411 0.175411
28712 129 1838 1 5400 40 0.236851542197 0.236852 0.236852
23296 130 9883 1 1900 30 0.0462219260101 0.0462219 0.0462219
7973 130 629 1 1900 30 0.19378059102 0.193781 0.193781
28932 130 102 1 950 20 0.261046919138 0.261047 0.261047
6041 131 1120 1 1900 30 0.0154749130624 0.0154749 0.0154749
6042 131 1309 1 5400 40 0.0672016567746 0.0672081 0.067207
7039 132 6317 1 6900 60 0.0278972192371 0.039237 0.0351829
5882 133 4553 1 5400 40 0.22712790954 0.233688 0.23145
14012 134 6798 1 5400 40 0.12557060773 0.126473 0.126448
4254 135 8849 1 5400 40 0.00742034734661 0.00748761 0.00746798
21284 136 5476 1 5400 40 0.110195285366 0.110198 0.1102
3957 136 135 1 1900 30 0.0311819749324 0.0501917 0.0446793
1928 137 6369 1 1900 30 0.0653428471399 0.135584 0.100347
26178 137 5092 1 950 20 0.678671318533 0.684349 0.755228
2552 139 8361 1 6900 60 0.961018606109 0.966129 0.966723
15539 140 4529 1 1900 30 0.0339357838678 0.0339358 0.0339358
27164 140 3921 1 1900 30 0.237480420145 0.237481 0.237481
19816 141 7241 1 950 20 0.638154586218 0.638155 0.638155
186 141 142 1 950 20 0.0782556367537 0.0782556 0.0782556
19258 142 141 1 950 20 0.0782556367537 0.0782556 0.0782556
4315 142 1934 1 950 20 2.91959941365 2.9196 2.9196
12089 143 5672 1 5400 40 0.0295243782948 0.0295244 0.0295244
13968 143 6555 1 5400 40 0.347892682449 0.347893 0.347893
10585 145 4584 1 5400 40 0.0134885078333 0.0134885 0.0134885
16106 145 155 1 5400 40 0.474908887799 0.474909 0.474909
24616 145 4566 1 5400 40 0.0437524380546 0.0437524 0.0437524
3379 146 147 1 950 20 0.0199663561186 0.0199664 0.0199664
9276 146 9655 1 950 20 0.857344082263 0.857344 0.857344
3376 147 148 1 950 20 0.0199748129365 0.0199748 0.0199748
3377 148 149 1 950 20 0.035843693236 0.0358437 0.0358437
3355 148 2519 1 950 20 0.0512120829486 0.0512121 0.0512121
3378 149 146 1 950 20 0.0686636143968 0.0686636 0.0686636
27842 150 104 1 1900 30 0.516666130768 0.516666 0.516666
7374 150 5628 1 1900 30 0.0791130539307 0.0791139 0.0791139
10012 152 5559 1 5400 40 0.0205430200192 0.020543 0.020543
15418 152 9943 1 5400 40 0.0511702128457 0.0511702 0.0511702
12111 153 157 1 5400 40 0.513784190647 0.693258 0.568428
16663 153 158 1 1900 30 0.02283201701 0.0228377 0.022845
9961 154 72 1 8100 40 0.0793841811296 0.0793878 0.0793986
9862 155 4566 1 5400 40 0.466936482002 0.466936 0.466936
24236 155 167 1 5400 40 0.560458895609 0.560459 0.560459
12110 156 153 1 5400 40 0.162640001717 0.23449 0.187889
12923 157 1192 1 1900 30 0.0727377653683 0.0727383 0.0727378
12112 157 1214 1 5400 40 0.0537342978142 0.0705335 0.0589535
274 158 3074 1 1900 30 0.169237735971 0.169272 0.169318
27166 160 3904 1 1900 30 0.034065018579 0.0340751 0.0340683
15541 160 3909 1 1900 30 0.236232776563 0.236233 0.236233
10165 162 10899 1 950 20 0.635236259001 0.635236 0.635236
12119 163 1260 1 5400 40 0.146473696084 0.146487 0.146485
11249 163 10207 1 8100 40 0.240027407202 0.240028 0.240028
13382 165 5627 1 8100 40 0.582623393897 0.582623 0.582623
12116 166 1192 1 5400 40 0.0600889639605 0.0601274 0.0601459
5818 166 1214 1 1900 30 0.0554517457015 0.0572325 0.0812185
24238 167 170 1 5400 40 0.137203488027 0.137203 0.137203
9864 167 155 1 5400 40 0.560458895609 0.560459 0.560459
9910 168 10877 1 950 20 4.41599626027 9.20865 9.20865
24296 168 278 1 950 20 0.127350482523 0.127372 0.127372
24698 170 6488 1 5400 40 0.966072571819 0.966073 0.966073
9866 170 167 1 5400 40 0.137203488027 0.137203 0.137203
26418 172 9082 1 1900 30 1.37907462073 1.37907 1.37907
25338 172 1620 1 1900 30 0.877142806496 0.877143 0.877143
14189 172 2222 1 1900 30 1.27775696714 1.27776 1.27776
20996 173 5389 1 950 20 1.75779698596 1.7578 1.7578
10877 173 7295 1 950 20 0.450267591857 0.450794 0.450794
1944 174 2336 1 1900 30 1.02686504597 1.02687 1.02687
24928 174 897 1 1900 30 0.0663836590275 0.0663837 0.0664011
19962 175 5636 1 1900 30 0.0689964298212 0.0689964 0.0689964
12636 175 4614 1 5400 40 0.17477051385 0.174771 0.174771
27502 176 1539 1 5400 40 0.202643680689 0.202647 0.202647
16165 176 445 1 5400 40 0.20339940874 0.203399 0.203399
7990 176 247 1 950 20 1.0302893543 1.03029 1.03029
20888 177 1784 1 1900 30 0.0264484432589 0.0264484 0.0264484
3821 177 5922 1 1900 30 0.0106133904015 0.0106134 0.0106134
3580 177 5668 1 1900 30 0.0746503023263 0.0746503 0.0746503
117 179 180 1 1900 20 0.043314339745 0.0433143 0.0433143
13843 179 181 1 1900 30 0.0330342977851 0.0330344 0.0330344
11185 180 9758 1 1900 30 0.0349213236417 0.0349277 0.0349277
13844 181 6433 1 1900 30 0.42392173045 0.423922 0.423922
11184 182 180 1 1900 30 0.0334614917222 0.0334676 0.0334676
116 182 181 1 1900 20 0.0290335171293 0.0290335 0.0290335
15668 183 1425 1 5400 40 0.0334426740767 0.0334427 0.0334427
7960 183 2342 1 950 20 0.0560269383964 0.0560269 0.0560269
22954 184 2056 1 950 20 0.412679537866 0.41268 0.41268
15066 184 9411 1 950 20 0.129846492008 0.129846 0.129846
2732 185 9290 1 5400 40 0.0319017019267 0.0319017 0.0319017
2760 185 9293 1 5400 40 0.0454021061727 0.0454021 0.0454021
7992 186 1539 1 950 20 0.116757702416 0.116758 0.116758
22658 187 6968 1 950 20 0.346605632508 0.346606 0.346606
921 187 5054 1 950 20 0.21188957322 0.220231 0.267941
2731 188 185 1 5400 40 0.031800283569 0.0318003 0.0318003
28190 189 1257 1 5400 40 0.410194412008 0.410216 0.410216
118 189 6645 1 5400 40 0.102848976794 0.102853 0.102853
9247 190 3657 1 1900 30 0.031578079451 0.0315781 0.0315781
23932 190 195 1 1900 30 0.449373945041 0.449706 0.449722
10509 191 5738 1 1900 30 0.0150330476845 0.0153543 0.0158313
7487 191 5639 1 1900 20 0.0735880121307 0.073588 0.073588
2735 192 188 1 5400 40 0.0318249997869 0.031825 0.031825
9943 193 1758 1 8100 40 0.0453184424852 0.0453915 0.0453988
16593 194 7082 1 950 20 1.20487971382 1.20508 1.20505
22218 194 197 1 950 20 0.299612814323 0.309058 0.30907
13991 195 2787 1 1900 30 0.0517152332283 0.0517528 0.0517537
9249 195 190 1 1900 30 0.449373945041 0.449374 0.449374
23070 196 5951 1 1900 30 0.17982919981 0.179829 0.179829
5873 197 194 1 950 20 0.299612814323 0.299686 0.299673
24916 197 198 1 950 20 0.117659203251 0.121007 0.121007
24918 198 9019 1 950 20 0.680082915921 0.697505 0.697482
11170 198 197 1 950 20 0.117659203251 0.117699 0.117693
2967 199 207 1 6900 60 0.919205074199 0.919349 0.919309
9141 200 1814 1 950 20 0.102835467414 0.102835 0.102835
18734 201 9786 1 1900 30 0.0425697559086 0.0425698 0.0425698
26450 201 212 1 1900 30 0.043047540313 0.0432877 0.0433641
15444 202 4472 1 1900 30 0.199780357293 0.19978 0.19978
21148 202 7906 1 1900 20 0.0170192269707 0.0170192 0.0170192
26328 203 2786 1 1900 30 0.0501376439231 0.050138 0.0501378
26448 203 9786 1 1900 30 0.037560156635 0.0377957 0.0378662
13997 203 5942 1 1900 30 0.741191732832 0.742953 0.743281
7996 204 222 1 950 20 0.955978766845 0.955979 0.955979
16463 205 234 1 950 20 0.00792423436571 0.00792423 0.00792423
16642 205 10803 1 950 20 0.0576250467863 0.057625 0.057625
27660 205 261 1 950 20 0.147226233454 0.147226 0.147226
20738 206 10915 1 5400 40 0.107305507351 0.107306 0.107306
10314 206 415 1 5400 40 0.305895037592 0.305897 0.305899
2968 207 2971 1 6900 60 0.014478104829 0.0144789 0.0144786
11587 207 7159 1 8100 40 0.0217188077248 0.0217188 0.0217188
9941 208 12 1 8100 40 0.119041417964 0.119044 0.119042
25570 209 4353 1 1900 30 0.00881277685446 0.00929554 0.00974376
13882 209 2886 1 1900 30 0.0299612040224 0.0299649 0.0299804
9936 210 7951 1 8100 40 0.682582462613 0.682937 0.682937
26090 211 312 1 5400 40 0.0278878990514 0.0278905 0.0279035
12907 211 8899 1 5400 40 0.102520700279 0.102521 0.102523
14245 212 201 1 1900 30 0.043047540313 0.0430475 0.0430475
14241 212 1450 1 1900 30 0.0423801273955 0.0426028 0.0426777
26452 212 3209 1 1900 30 0.0200316074682 0.0200316 0.0200316
6235 213 7207 1 1900 30 0.0548099385363 0.0552652 0.0571363
267 214 218 1 950 20 0.247270297501 0.24727 0.24727
19574 214 215 1 950 20 0.0537347873246 0.0537348 0.0537348
19244 215 7091 1 950 20 1.81832427979 1.81832 1.81832
817 215 214 1 950 20 0.0537347873246 0.0537348 0.0537348
7040 216 4596 1 8100 40 0.13080552401 0.131497 0.131076
18725 217 1542 1 1900 30 0.0327279145964 0.0330058 0.0332182
28902 217 1559 1 1900 30 0.0697558577955 0.0745433 0.0719914
42 218 7089 1 5400 40 0.743963571388 0.743971 0.743973
19282 218 214 1 950 20 0.247270297501 0.24727 0.24727
19204 218 233 1 5400 40 0.511613120955 0.511613 0.511614
21352 219 3058 1 5400 40 0.113941845108 0.113942 0.113942
26668 219 10482 1 5400 40 0.609758512917 0.609759 0.609759
19144 220 243 1 950 20 0.135198765628 0.135199 0.135199
19940 221 224 1 1900 30 0.068805576194 0.0688056 0.0688056
14262 221 2050 1 1900 30 0.0866348039225 0.10602 0.105666
18729 221 1559 1 1900 30 0.0355763519096 0.0355766 0.0355766
16169 222 1539 1 5400 40 0.046228561879 0.0462286 0.0462286
27506 222 7243 1 5400 40 0.336042286002 0.336047 0.336047
23308 222 204 1 950 20 0.955978766845 0.955979 0.955979
11670 223 5641 1 5400 40 0.0726214467868 0.0726299 0.0729386
25148 223 5669 1 5400 40 1.19589841842 1.19638 1.19656
1666 224 221 1 1900 30 0.068805576194 0.0688596 0.0690105
26462 224 1542 1 1900 30 0.0239924076459 0.0240002 0.024041
6833 225 7975 1 950 20 1.21495563896 1.21496 1.21496
2026 226 229 1 6900 60 0.473370139158 0.473374 0.473373
7531 226 9773 1 8100 40 0.256928098553 0.256928 0.256928
20356 227 7931 1 5400 40 0.0110564509699 0.0110639 0.0110642
2377 227 228 1 5400 40 0.0327534561305 0.0327543 0.0327543
3389 228 9954 1 5400 40 0.036557110424 0.0365608 0.0365609
2375 228 7923 1 5400 40 0.0214604891368 0.0214605 0.0214605
20354 228 227 1 5400 40 0.0327534561305 0.0327535 0.0327535
2027 229 10120 1 6900 60 0.286209190719 0.286215 0.286211
16682 230 2069 1 6900 60 0.666107537053 0.666114 0.666115
9946 231 154 1 8100 40 0.170404158267 0.170413 0.170438
5974 231 54 1 8100 40 0.39051853044 0.390541 0.390529
4937 232 8641 1 1900 30 0.099376433831 0.100357 0.101972
21666 232 5942 1 1900 30 0.0430369736204 0.043037 0.043037
44 233 218 1 5400 40 0.511613120955 0.511619 0.51162
19206 233 9715 1 5400 40 0.0193293503905 0.0193294 0.0193294
27658 234 205 1 950 20 0.00792423436571 0.00792423 0.00792423
16467 234 261 1 950 20 0.0124462363563 0.0124462 0.0124462
132 235 233 1 1900 30 0.026447629884 0.0264549 0.0264552
130 235 9715 1 1900 30 0.019207115655 0.0192072 0.0192072
4379 236 1629 1 950 20 0.215127085894 0.215127 0.215127
27024 236 1390 1 950 20 0.281000237546 0.281 0.281
134 237 9717 1 1900 30 0.0290635325667 0.0290635 0.0290635
19210 238 7097 1 5400 40 0.225436288039 0.225437 0.225437
48 238 9715 1 5400 40 0.0187290555607 0.0187291 0.0187291
133 238 237 1 1900 30 0.0211967776461 0.0211968 0.0211968
19143 239 220 1 950 20 0.055506132946 0.0555061 0.0555061
907 239 3758 1 950 20 0.953762908994 0.953763 0.953763
7848 240 7964 1 5400 40 0.831183650878 0.831184 0.831184
2828 241 3724 1 1900 30 0.177999975805 0.178 0.178
7604 242 6320 1 5400 40 0.0229107931104 0.0229108 0.0229108
14764 242 9251 1 950 20 0.0475026931167 0.0475027 0.0475027
12463 243 270 1 950 20 0.342475439903 0.342475 0.342475
19142 243 239 1 950 20 0.0268913689297 0.0268914 0.0268914
14265 244 10721 1 5400 40 0.0426980819578 0.0427872 0.0427766
26468 244 10723 1 5400 40 0.0461403277085 0.0461403 0.0461403
23926 244 3663 1 1900 30 0.424194805613 0.425098 0.425248
11145 245 107 1 8100 40 0.748454015221 0.748462 0.748463
11150 245 3316 1 8100 40 0.422503840263 0.422504 0.422504
25546 246 257 1 950 20 0.348130451751 0.34813 0.34813
3518 246 5727 1 950 20 1.28657543248 1.28658 1.28658
23302 247 176 1 950 20 1.0302893543 1.03029 1.03029
1603 248 2347 1 6900 60 3.27254493194 3.30578 3.30325
19844 249 1136 1 1900 30 0.183863169548 0.183863 0.183863
