source destination
1 2953
1 4318
1 1511
1 2672
1 6351
1 7996
1 9079
1 989
1 4412
1 7499
1 10716
1 10085
1 10715
1 2553
1 1275
2 7988
2 1612
2 2667
2 7595
2 5254
2 7195
2 3784
2 5301
2 670
2 1139
2 10203
2 2002
2 2215
2 3701
2 5826
2 6888
2 10218
2 2720
2 8443
2 8732
2 9646
2 9353
2 2174
2 2266
2 9747
2 10063
2 2653
2 5763
2 6878
2 7781
2 6032
2 3353
2 4979
2 6118
2 1822
2 3206
2 3208
2 5469
2 4489
2 1458
2 6925
2 8027
2 10295
2 8224
2 8224
2 869
2 4027
2 5235
2 10255
3 1615
3 2515
3 2518
3 9597
3 6502
3 1866
3 4160
3 10468
3 4353
3 1112
3 1841
3 10477
3 8936
3 132
3 1146
3 10694
3 2376
3 9817
3 3759
3 9325
3 7490
3 8781
3 4827
3 7861
3 7167
3 3014
3 23
3 7625
4 8945
4 5082
4 10630
4 5594
4 1847
4 6674
4 8307
4 2089
4 3932
4 1869
4 10011
4 10921
4 1650
4 3388
4 4377
4 2331
4 7500
4 9661
4 7741
4 9339
4 9352
4 9354
4 3533
4 7006
4 7103
4 7176
4 8163
4 5184
4 1443
4 1445
5 635
5 3923
5 4240
5 2077
5 113
5 6715
5 7379
5 9852
5 9507
5 4718
5 9096
5 473
5 2355
5 9597
5 527
5 2821
5 5848
5 2784
6 251
6 4356
6 3807
7 6441
7 3189
7 9909
7 5170
7 7141
7 1249
7 3275
7 3924
7 9054
7 9032
8 1848
8 10196
9 8428
9 6696
9 7696
9 9543
9 5055
9 685
9 7007
9 2131
9 2418
9 2418
9 2422
9 571
9 836
9 4518
9 5946
9 9079
9 1608
9 2669
9 4592
9 1990
9 2975
9 5044
9 7038
9 7146
9 7894
9 438
9 7478
9 3589
9 6225
9 9059
9 8226
9 5609
9 7596
9 9851
9 10709
9 1451
9 5255
9 5885
10 1522
10 6973
11 2703
11 518
11 7909
11 1958
11 2973
11 3880
11 6423
11 7034
11 7915
11 9476
11 9789
11 2745
11 6115
11 7627
11 8055
11 8979
11 9026
11 9726
11 7999
11 2621
11 5863
11 9435
11 676
11 2258
11 2977
11 4077
11 6024
11 10461
11 7656
11 9349
11 5653
11 6811
11 4813
11 5470
11 7625
11 7852
11 9434
11 10704
11 223
11 1660
11 4974
11 7768
11 5910
11 10142
11 2454
11 10324
11 6753
11 10335
11 7334
11 10561
12 7129
12 1494
12 10895
12 2740
12 4680
12 5200
12 7610
12 7627
12 8044
12 8858
12 4010
12 9713
12 7656
12 8412
12 8426
12 9053
12 3189
12 1113
12 1239
12 1468
12 2031
12 4433
12 5658
12 6266
12 6293
12 258
12 3038
12 9751
12 223
12 1646
12 7111
12 8451
12 8890
12 2259
12 3294
12 846
12 3516
12 5416
12 843
12 2756
12 9697
12 7237
12 8625
12 8224
12 8226
12 2673
12 3398
12 5840
12 7475
12 4409
12 1972
13 7479
13 3526
13 333
13 6338
13 959
13 2421
13 8220
13 10210
13 10316
13 4749
13 7408
13 7808
13 2031
13 3621
13 3621
13 4433
13 5967
13 5967
13 6808
13 5839
13 8978
13 1559
13 4034
13 2485
13 7845
13 2317
13 3552
13 6391
13 6561
13 6136
13 3074
13 6361
13 867
13 7834
13 5474
13 6092
14 5944
14 4631
14 1522
14 8115
14 8888
14 689
14 1719
14 2900
15 4240
15 7416
15 3638
15 3524
15 2380
15 10066
15 9084
15 7
15 588
15 671
15 6976
15 8028
15 8200
15 10364
16 9648
16 5017
16 9409
16 4751
16 604
16 4328
16 7543
16 4304
16 3005
16 2208
16 2718
16 5407
16 7002
16 383
16 73
16 591
16 766
16 1133
16 1635
16 3094
16 6967
16 6969
16 9316
17 8814
17 4722
17 3367
17 10731
17 10789
17 10795
17 1370
17 9953
17 6747
17 6024
17 1316
18 6032
18 8247
18 1647
18 7816
18 1444
18 6125
18 10516
18 3119
18 1910
18 3334
18 9281
18 4928
18 9584
18 1246
18 3195
18 8126
18 2122
18 6303
19 2490
19 7262
19 9832
19 10071
19 10378
19 2337
19 4304
19 10208
19 4478
19 2372
19 7364
19 7427
19 8749
19 9887
19 40
19 2619
19 3272
19 9666
19 10376
19 1414
22 10659
