ID avtt sigmatt
20984 29 0
3780 4 0
9968 23 0
7447 6 0
22016 34 0
22264 3 0
12400 3 0
16071 3 0
9161 11 0
860 4 0
862 4 0
16902 4 0
861 4 0
26848 7 0
14975 5 0
16914 4 0
864 4 0
18855 14 0
7180 3 0
22970 94 0
9955 9 0
2642 54 0
214 16 0
865 4 0
17268 3 0
3900 3 0
19968 21 0
7211 7 0
11616 6 0
12900 3 0
25708 3 0
19922 41 0
3896 4 0
5532 4 0
13936 6 0
5553 10 0
21998 10 0
13944 3 0
9803 44 0
21886 3 0
5270 3 0
7182 94 0
8844 4 0
1388 3 0
19826 6 0
805 4 0
1400 6 0
3778 4 0
18988 38 0
1401 3 0
24678 10 0
1572 8 0
14021 3 0
26340 5 0
14027 3 0
26338 3 0
21786 5 0
2671 4 0
16669 6 0
2118 4 0
5907 16 0
13056 40 0
23586 4 0
6668 38 0
8525 5 0
6328 18 0
18861 19 0
24290 11 0
9959 10 0
5414 5 0
5419 10 0
5418 6 0
5408 9 0
10427 3 0
24520 3 0
15096 4 0
3156 8 0
15093 4 0
15090 23 0
5413 5 0
1795 4 0
20010 9 0
5719 4 0
19028 5 0
5184 4 0
7953 3 0
8286 210 0
26134 124 0
5975 12 0
5421 3 0
11825 5 0
3643 34 0
12661 4 0
3525 70 0
20854 4 0
4516 15 0
8687 11 0
18838 6 0
10624 5 0
272 8 0
2757 22 0
14852 16 0
26770 4 0
26824 6 0
11064 19 0
13442 15 0
3825 86 0
9148 4 0
5577 28 0
25706 3 0
5272 3 0
26608 4 0
19238 53 0
20838 85 0
142 113 0
9962 22 0
5444 3 0
11960 65 0
24240 431 0
3420 4 0
20788 3 0
9973 5 0
24292 10 0
20784 3 0
18713 8 0
6210 5 0
4654 126 0
18401 6 0
10602 4 0
9940 6 0
18403 13 0
18402 28 0
27554 26 0
9957 11 0
16820 4 0
27896 10 0
7276 14 0
3430 5 0
20496 29 0
17299 3 0
15184 36 0
20794 5 0
12999 29 0
23578 6 0
8559 9 0
27816 16 0
27818 8 0
18574 3 0
23062 3 0
7476 4 0
18203 14 0
15163 6 0
10599 6 0
18407 12 0
9738 6 0
24946 7 0
11325 98 0
28906 118 0
24992 67 0
15955 9 0
11624 29 0
1793 9 0
24740 53 0
18777 13 0
279 3 0
5335 21 0
16731 26 0
10515 4 0
29036 3 0
7599 7 0
11323 22 0
6367 4 0
12895 5 0
12191 3 0
1396 5 0
26502 66 0
28844 3 0
18658 3 0
27076 40 0
3917 6 0
11890 12 0
11887 5 0
19554 70 0
2779 6 0
13477 8 0
26050 53 0
8211 3 0
20492 6 0
26578 34 0
14445 4 0
16027 216 0
26576 4 0
14631 3 0
26640 56 0
14629 5 0
1420 82 0
29042 164 0
2445 11 0
27936 57 0
16992 5 0
5177 5 0
23766 8 0
8951 4 0
7080 7 0
13908 3 0
9939 32 0
14653 4 0
1939 14 0
17987 18 0
18395 10 0
28712 13 0
23296 3 0
7973 11 0
28932 13 0
6041 3 0
6042 5 0
7039 4 0
5882 13 0
14012 8 0
4254 3 0
21284 7 0
3957 3 0
1928 4 0
26178 34 0
2552 50 0
15539 3 0
27164 13 0
19816 32 0
186 4 0
