ID avtt sigmatt
11421 32 0
22255 14 0
22263 11 0
23082 12 0
3973 5 0
7814 34 0
38496 3 0
39410 109 0
24715 3 0
22256 14 0
6675 63 0
12791 4 0
32734 56 0
12080 36 0
12079 16 0
36914 7 0
12225 5 0
12807 4 0
29114 5 0
24333 26 0
7952 10 0
20210 15 0
21736 4 0
18689 20 0
18583 19 0
26289 8 0
18297 13 0
18416 12 0
26295 6 0
8747 16 0
12883 28 0
17353 16 0
17349 5 0
7149 24 0
22235 8 0
6868 5 0
9310 4 0
31098 4 0
33850 3 0
22686 3 0
14852 3 0
28426 8 0
5742 27 0
8149 5 0
2041 11 0
11464 4 0
12074 31 0
8147 6 0
4087 27 0
12193 13 0
33540 17 0
3562 47 0
28148 20 0
12789 42 0
32730 4 0
32732 56 0
10657 3 0
23622 5 0
34054 81 0
15355 17 0
5502 17 0
19350 4 0
14264 4 0
17939 23 0
11101 16 0
29742 4 0
14681 20 0
24652 9 0
25989 42 0
813 20 0
26968 100 0
27232 404 0
36564 4 0
38776 5 0
25266 250 0
25917 31 0
25952 5 0
34692 6 0
39110 3 0
3317 4 0
31758 36 0
22275 7 0
7069 28 0
21354 28 0
12419 3 0
12423 4 0
18652 11 0
31760 4 0
10728 8 0
6442 4 0
6468 7 0
18651 6 0
18057 23 0
4528 8 0
18073 40 0
10716 21 0
2475 4 0
2364 62 0
6096 71 0
29662 91 0
6142 44 0
18596 18 0
29718 20 0
11909 4 0
18065 7 0
1269 7 0
29710 4 0
6297 8 0
29712 16 0
6286 4 0
10128 7 0
6289 16 0
6282 65 0
29714 786 0
10724 6 0
31764 4 0
10720 36 0
31762 6 0
10722 4 0
31756 32 0
10770 38 0
10726 4 0
31766 8 0
1874 18 0
6544 7 0
81 25 0
7258 133 0
36428 54 0
30158 35 0
7292 318 0
35586 182 0
18579 335 0
8152 7 0
18461 28 0
21231 4 0
21235 4 0
25686 9 0
20871 15 0
17940 10 0
17943 43 0
25744 4 0
18602 14 0
29722 4 0
3426 40 0
12344 7 0
18056 9 0
25363 14 0
755 47 0
18120 10 0
7523 209 0
24368 7 0
9989 46 0
30150 9 0
20495 54 0
36430 6 0
17327 15 0
14130 35 0
32884 72 0
33516 104 0
6060 3 0
29584 49 0
2315 4 0
27646 106 0
19678 24 0
164 18 0
4523 14 0
4664 3 0
22283 13 0
8732 15 0
27686 4 0
15440 18 0
34120 7 0
13977 16 0
18878 41 0
33366 5 0
821 6 0
26972 56 0
20552 4 0
4033 5 0
282 10 0
13960 8 0
25979 4 0
11688 20 0
19418 4 0
8398 15 0
6006 4 0
6004 6 0
8376 16 0
8392 13 0
15554 3 0
9224 32 0
13429 7 0
26243 4 0
26277 13 0
39294 26 0
26245 4 0
39292 13 0
26275 4 0
20130 3 0
39268 4 0
26273 5 0
39290 4 0
26249 4 0
39286 6 0
39270 5 0
26269 9 0
29294 4 0
5582 4 0
16104 3 0
38386 5 0
26251 5 0
978 28 0
8377 5 0
8378 4 0
39272 4 0
16102 5 0
24445 3 0
17118 6 0
38404 3 0
1100 4 0
18377 22 0
5002 4 0
3803 4 0
11450 4 0
11449 4 0
976 4 0
523 15 0
977 7 0
15345 22 0
14729 60 0
24648 8 0
23142 72 0
21471 4 0
826 8 0
820 8 0
4472 22 0
22844 5 0
30152 3 0
25143 4 0
7264 9 0
38714 6 0
7266 3 0
17035 3 0
34924 6 0
2480 18 0
16315 12 0
23047 6 0
13219 10 0
16314 3 0
13296 9 0
8763 46 0
7066 15 0
22133 16 0
827 193 0
9612 9 0
9625 4 0
26798 18 0
459 37 0
27078 11 0
8659 54 0
7268 3 0
30156 7 0
23827 14 0
8658 13 0
5054 4 0
29378 21 0
33398 12 0
461 18 0
26800 307 0
993 9 0
5796 117 0
28982 4 0
24312 4 0
22704 12 0
23658 17 0
8390 34 0
19613 5 0
12793 56 0
12159 4 0
32372 81 0
23830 12 0
23826 13 0
15643 40 0
3020 38 0
12577 11 0
23831 138 0
8401 10 0
8655 11 0
5662 8 0
13544 6 0
12069 8 0
17747 6 0
17745 17 0
9849 6 0
33904 12 0
17742 11 0
17744 5 0
7388 9 0
15138 4 0
21265 27 0
4887 90 0
32180 3 0
3850 12 0
15137 4 0
7067 9 0
885 166 0
35950 4 0
12764 25 0
10713 6 0
2185 4 0
16507 6 0
1729 57 0
23829 51 0
12007 3 0
7353 3 0
19202 10 0
24244 33 0
8029 4 0
7989 13 0
8370 4 0
25757 11 0
27884 211 0
7988 5 0
9983 14 0
22767 193 0
19349 4 0
37152 6 0
37274 16 0
21859 53 0
27930 54 0
17897 7 0
7025 7 0
309 16 0
15945 127 0
825 54 0
2810 4 0
27860 206 0
35906 4 0
11230 5 0
20307 8 0
33980 41 0
28236 4 0
31498 47 0
3728 4 0
