eid source target dir capacity speed_mph cost_time tt_user tt_soc
11421 1 10412 1 6900 60 0.593721407863 0.771841 0.771839
22255 2 15003 1 1900 30 0.264510012029 0.397554 0.386192
22263 3 10128 1 8100 40 0.199049379904 0.258824 0.258798
23082 3 7740 1 1900 30 0.218253015797 0.288424 0.294814
3973 4 4968 1 5400 40 0.056854617298 0.0739357 0.0739438
7814 5 2122 1 1900 30 0.681418618222 0.88585 0.885851
38496 5 6 1 1900 30 0.0428757619171 0.0569369 0.059467
39410 6 13051 1 1900 30 2.2108458143 2.93252 3.05841
24715 6 5 1 1900 30 0.0428757619171 0.0557392 0.0557393
22256 7 14058 1 1900 30 0.256873615227 0.345235 0.339903
6675 8 14399 1 6900 60 1.23948579705 1.64395 1.6377
12791 9 33 1 950 20 0.0383909476831 0.0499082 0.0499082
32734 9 263 1 950 20 1.12866486084 1.46726 1.46726
12080 10 14692 1 1900 30 0.706652480106 0.919079 0.919079
12079 11 10 1 1900 30 0.29485130755 0.383486 0.383486
36914 12 12467 1 950 20 0.138470352421 0.180196 0.180122
12225 12 12103 1 5400 40 0.0614395052888 0.0936745 0.0914381
12807 13 10056 1 5400 40 0.0439094170346 0.0571906 0.0583453
29114 13 678 1 1900 30 0.0845802599379 0.110155 0.111319
24333 14 369 1 1900 30 0.502411732323 0.653135 0.653135
7952 14 2079 1 1900 30 0.18583325709 0.241584 0.244156
20210 15 5354 1 950 20 0.30589370346 0.398892 0.406244
21736 15 14359 1 950 20 0.043430227524 0.0575871 0.0603547
18689 16 13777 1 5400 40 0.378698614726 0.492308 0.492407
18583 16 5892 1 5400 40 0.35892974297 0.468078 0.47201
26289 17 14897 1 1900 20 0.15275399028 0.198581 0.19858
18297 17 14980 1 5400 40 0.227804272002 0.298732 0.297948
18416 18 534 1 5400 40 0.220096931957 0.400728 0.351274
26295 18 15006 1 1900 20 0.119625531937 0.15553 0.155519
8747 19 12168 1 1900 30 0.303812685701 0.399742 0.400487
12883 19 10406 1 1900 20 0.557072062469 0.77647 0.740941
17353 20 15000 1 950 20 0.31811101783 0.413544 0.413544
17349 20 5098 1 950 20 0.0839443360092 0.15079 0.135888
7149 22 10871 1 6900 60 0.440592729506 0.692284 0.695493
22235 23 10720 1 5400 40 0.131121287763 0.170458 0.170458
6868 23 831 1 5400 40 0.0596210396657 0.0776501 0.0788028
9310 24 13106 1 950 20 0.0524947596302 0.0682432 0.0682502
31098 24 13148 1 950 20 0.0304486238216 0.0395886 0.0395911
33850 25 26 1 5400 40 0.0333802263884 0.0445619 0.0451851
22686 25 1474 1 5400 40 0.0350463212811 0.0455602 0.0455602
14852 26 25 1 5400 40 0.0333802263884 0.0433943 0.0433943
28426 26 4684 1 5400 40 0.135698477072 0.181025 0.183522
5742 27 6633 1 1900 30 0.52037582057 0.711312 0.745484
8149 27 15013 1 1900 20 0.0987782405794 0.128412 0.128413
2041 28 3745 1 1900 30 0.210295773718 0.376105 0.328497
11464 28 11810 1 1900 30 0.063304319362 0.0888534 0.0850764
12074 29 2458 1 1900 30 0.609755397707 0.792683 0.792683
8147 29 14980 1 1900 20 0.103777249024 0.13497 0.136958
4087 31 14348 1 8100 40 0.51903157561 0.674741 0.674741
12193 31 1268 1 6900 60 0.21299449884 0.276894 0.276894
33540 32 14970 1 950 20 0.332677142841 0.432502 0.432502
3562 32 13627 1 5400 40 0.933553579904 1.21362 1.21362
28148 32 5156 1 5400 40 0.364620057073 0.474006 0.474006
12789 33 1888 1 950 20 0.847780271041 1.12718 1.12718
32730 33 9 1 950 20 0.0383909476831 0.0499085 0.0499085
32732 33 150 1 950 20 1.14647922846 1.49042 1.49042
10657 34 5815 1 1900 30 0.0477144939155 0.0620288 0.0620288
23622 35 1478 1 6900 60 0.0542408126593 0.0867193 0.0912953
34054 36 14874 1 1900 30 1.63678624963 2.12782 2.12782
15355 36 3531 1 1900 30 0.320715353634 0.41693 0.416932
5502 37 9350 1 950 20 0.341237666311 0.887102 0.615587
19350 38 13026 1 6900 60 0.0360903592225 0.048925 0.0490681
14264 40 8994 1 1900 30 0.062463072948 0.0812027 0.0893642
17939 40 52 1 950 20 0.457493371443 0.596273 0.595145
11101 41 13598 1 6900 60 0.259852947664 0.340026 0.340805
29742 42 7010 1 1900 30 0.0557704384952 0.0725425 0.0725507
14681 42 267 1 1900 30 0.383718900191 0.567349 0.548883
24652 42 5868 1 1900 30 0.161598396802 0.210079 0.210079
25989 43 14650 1 950 20 0.855486369149 1.11217 1.11665
813 43 11419 1 950 20 0.391001289117 0.508302 0.508302
26968 43 14902 1 950 20 2.04623218573 2.6601 2.66019
27232 44 696 1 950 20 8.2755341831 10.7582 10.7582
36564 45 4933 1 950 20 0.0747160492234 0.0971309 0.0971309
38776 45 4934 1 950 20 0.0866928499357 0.112701 0.112701
25266 45 12231 1 950 20 5.12242650587 6.65915 6.65915
25917 46 4931 1 1900 30 0.61224729967 0.799348 0.801177
25952 46 4967 1 1900 20 0.0938009974823 0.121941 0.121941
34692 46 5055 1 1900 20 0.109718632097 0.142634 0.142634
39110 46 14827 1 1900 30 0.0301403575243 0.0406879 0.0399547
3317 47 4848 1 950 20 0.052560196228 0.0683302 0.0683639
31758 47 67 1 950 20 0.735206645938 0.955769 0.955769
22275 48 8717 1 950 20 0.130893616511 0.170167 0.170167
7069 49 6156 1 6900 60 0.50598671519 0.657819 0.657821
21354 50 11412 1 1900 30 0.558445532096 0.921758 0.927591
12419 51 9602 1 1900 30 0.0261840139928 0.0357008 0.0393295
12423 51 14629 1 1900 20 0.0452777405771 0.0588728 0.0588735
18652 52 3663 1 950 20 0.211562752305 0.275505 0.275137
31760 53 68 1 950 20 0.0219805611565 0.0285747 0.0285747
10728 53 69 1 950 20 0.161062720051 0.209382 0.209382
6442 54 14622 1 8100 40 0.0520365655646 0.0676475 0.0676475
6468 54 14646 1 8100 40 0.112315848576 0.146011 0.146011
18651 55 52 1 950 20 0.120702626574 0.156913 0.156913
18057 55 1086 1 950 20 0.456491002451 0.593438 0.593438
4528 56 77 1 950 20 0.160178007152 0.208381 0.208271
18073 57 13736 1 950 20 0.817953070309 1.06334 1.06334
10716 57 13737 1 1900 30 0.413875097985 0.551386 0.601141
2475 58 12756 1 1900 30 0.050971709679 0.0662632 0.0662632
2364 58 5189 1 1900 30 1.24536268232 1.61914 1.61953
6096 59 14081 1 950 20 1.44026410735 1.87234 1.87234
29662 59 8211 1 1900 30 1.85213206569 2.40777 2.40777
6142 59 14067 1 1900 30 0.873857260949 1.13601 1.13601
18596 60 300 1 950 20 0.362707277092 0.475171 0.475171
29718 60 9430 1 950 20 0.390126388982 0.507164 0.507164
11909 61 51 1 1900 30 0.0544985362738 0.0797988 0.0939671
18065 62 11157 1 1900 30 0.112383486323 0.166453 0.197608
