ID avtt sigmatt
1890 17 0
19889 5 0
3927 15 0
26730 29 0
95106 4 0
11250 3 0
76560 157 0
35089 4 0
6157 21 0
4024 13 0
76562 39 0
90574 88 0
11252 157 0
49069 37 0
39720 28 0
28626 3 0
28645 3 0
9150 4 0
9153 7 0
63207 3 0
102524 5 0
33557 113 0
46932 27 0
58383 22 0
30933 78 0
12780 36 0
55761 4 0
3423 9 0
58328 11 0
57959 7 0
16602 3 0
49162 3 0
11584 9 0
76734 9 0
60529 7 0
46788 4 0
94470 53 0
11588 9 0
69408 4 0
96506 16 0
49532 12 0
37114 130 0
7368 15 0
5317 17 0
18173 19 0
46902 7 0
27269 5 0
34491 10 0
97608 8 0
53232 7 0
27262 6 0
67034 6 0
94478 16 0
3346 25 0
46858 166 0
46900 5 0
57727 9 0
55212 400 0
99816 74 0
18066 16 0
36732 18 0
44964 33 0
11980 3 0
8543 25 0
36221 148 0
26183 3 0
58349 6 0
44437 32 0
93342 6 0
36802 13 0
46966 23 0
91412 44 0
101412 9 0
33923 4 0
11189 7 0
11191 12 0
32052 31 0
95152 24 0
58477 38 0
99848 36 0
91462 298 0
50716 16 0
65881 7 0
64538 3 0
51738 15 0
32374 54 0
87414 124 0
69753 35 0
105966 19 0
69755 19 0
78960 11 0
47019 9 0
65887 3 0
64539 60 0
55676 27 0
33916 5 0
59359 6 0
20310 4 0
47165 4 0
81364 4 0
33449 31 0
62848 37 0
33448 4 0
56730 5 0
99096 23 0
46741 6 0
76712 4 0
11532 261 0
59434 127 0
46961 3 0
81362 4 0
20308 313 0
41509 25 0
85944 61 0
28526 6 0
30665 10 0
86556 159 0
58308 35 0
28813 62 0
94400 3 0
57719 217 0
99480 206 0
61306 175 0
26772 3 0
51913 15 0
26999 21 0
15396 5 0
7376 8 0
77938 15 0
9789 10 0
13755 45 0
88782 71 0
77976 3 0
102192 23 0
13715 15 0
77930 22 0
7377 23 0
72906 207 0
69948 93 0
46817 6 0
20138 6 0
97614 7 0
103278 93 0
2404 184 0
55834 11 0
46712 11 0
53236 7 0
97612 131 0
46972 12 0
46965 8 0
64330 88 0
35451 165 0
103256 98 0
53624 115 0
102564 3 0
9971 24 0
28371 7 0
96236 4 0
38662 22 0
46724 3 0
61857 4 0
34186 5 0
48001 5 0
94962 3 0
10591 9 0
12782 9 0
64037 17 0
1443 3 0
92658 73 0
38663 70 0
27827 3 0
93064 4 0
40716 163 0
92904 6 0
42510 9 0
48873 4 0
39131 63 0
100420 11 0
59403 84 0
41452 62 0
46571 22 0
88398 20 0
34515 12 0
56748 4 0
56789 4 0
30199 56 0
101258 23 0
43573 71 0
84306 106 0
101402 60 0
61220 9 0
94446 65 0
40897 6 0
103722 7 0
75568 9 0
13537 37 0
8695 26 0
10917 18 0
52578 14 0
61373 8 0
37181 6 0
4109 7 0
1352 15 0
1349 17 0
4163 22 0
9758 11 0
9860 39 0
35445 3 0
88786 8 0
53823 21 0
41388 16 0
105858 7 0
5823 28 0
69394 9 0
27102 7 0
28710 5 0
32116 13 0
96634 50 0
51747 89 0
1351 4 0
71868 17 0
15311 8 0
4166 7 0
4191 8 0
93962 42 0
48258 106 0
26790 85 0
44080 6 0
70178 83 0
34871 102 0
100408 10 0
18349 6 0
66648 0 0
104524 520 0
31133 22 0
73776 29 0
97360 4 0
48152 4 0
52818 4 0
97362 60 0
5704 8 0
31130 3 0
53073 10 0
58757 8 0
14559 20 0
35993 5 0
89114 8 0
66775 5 0
4536 59 0
63400 25 0
75598 31 0
38437 4 0
106010 7 0
60552 7 0
95812 7 0
69824 9 0
75600 193 0
77958 191 0
9419 31 0
13734 376 0
15322 3 0
78774 124 0
30376 22 0
31132 10 0
102734 64 0
75602 191 0
63531 257 0
9421 193 0
68293 11 0
9423 191 0
101932 65 0
62120 256 0
37846 7 0
78456 47 0
14617 9 0
102658 30 0
4500 13 0
102660 39 0
45478 30 0
63402 30 0
97982 67 0
39606 3 0
40787 7 0
91140 5 0
76182 56 0
102662 36 0
63404 39 0
10561 68 0
56582 5 0
11471 112 0
63406 36 0
76690 69 0
102664 10 0
97550 6 0
63408 10 0
31129 7 0
31136 3 0
59523 8 0
100406 220 0
100494 123 0
59762 4 0
11317 12 0
90946 149 0
90564 576 0
39245 26 0
80990 4 0
21246 4 0
66730 31 0
22483 40 0
66728 7 0
59299 11 0
22497 19 0
60977 11 0
66381 35 0
101632 83 0
104412 72 0
105024 125 0
38501 576 0
67791 227 0
59763 128 0
24780 12 0
35261 8 0
88688 4 0
58801 3 0
47163 4 0
31139 6 0
7411 3 0
50006 11 0
68703 30 0
105454 29 0
68074 15 0
15589 10 0
22494 32 0
66731 18 0
93854 3 0
11225 16 0
49596 12 0
21573 270 0
92460 162 0
43276 24 0
92776 4 0
48879 5 0
100246 25 0
28178 91 0
68831 5 0
57428 122 0
99332 8 0
40706 10 0
66773 6 0
46818 20 0
87020 4 0
59298 3 0
36419 4 0
42854 39 0
37442 5 0
42722 5 0
45056 9 0
53872 4 0
27264 3 0
11842 63 0
55748 23 0
93496 67 0
34052 16 0
51843 3 0
56837 100 0
90200 6 0
37821 5 0
40397 4 0
3517 12 0
9657 4 0
63459 5 0
46719 77 0
94492 24 0
44163 18 0
44166 27 0
23537 10 0
83028 11 0
3518 5 0
3519 20 0
9655 18 0
45845 3 0
37334 3 0
14390 5 0
46865 7 0
52034 37 0
25432 4 0
67046 26 0
87370 19 0
91110 137 0
92908 303 0
39547 223 0
43503 336 0
36321 402 0
93594 23 0
3738 14 0
88048 14 0
4104 18 0
61741 15 0
22602 21 0
78526 50 0
82582 50 0
14236 4 0
19401 5 0
80840 74 0
13035 38 0
3425 4 0
10681 13 0
23780 30 0
31945 80 0
68138 15 0
51858 14 0
14757 52 0
22881 50 0
24947 26 0
9652 6 0
14711 22 0
55749 36 0
71224 56 0
160 35 0
9653 10 0
211 7 0
50736 15 0
96782 15 0
1344 13 0
98678 14 0
55715 19 0
69761 186 0
105970 194 0
102312 7 0
88810 13 0
55624 14 0
98680 87 0
26156 10 0
88358 14 0
43329 32 0
69530 7 0
99700 9 0
7843 30 0
104212 76 0
44674 58 0
105146 12 0
9057 36 0
15305 34 0
75384 36 0
15307 20 0
95606 4 0
55626 87 0
37409 15 0
7115 43 0
63559 14 0
40899 4 0
34305 14 0
100472 43 0
9511 87 0
75644 36 0
54513 111 0
61259 9 0
40900 20 0
54920 3 0
95598 4 0
16438 131 0
55646 4 0
98698 12 0
43113 3 0
99788 8 0
58348 96 0
70188 19 0
7495 21 0
85856 49 0
80472 29 0
29277 22 0
10748 58 0
55080 4 0
10747 8 0
1459 3 0
57607 45 0
60516 4 0
14436 3 0
70872 44 0
106064 93 0
51818 4 0
51819 35 0
48340 5 0
41343 11 0
35689 48 0
96016 3 0
26720 14 0
21175 15 0
34834 48 0
89352 4 0
7039 16 0
36337 38 0
23266 3 0
57945 8 0
62525 77 0
57944 4 0
21158 29 0
57941 9 0
14741 15 0
52375 44 0
76640 50 0
97106 14 0
33818 121 0
54594 23 0
4021 3 0
12823 3 0
59696 4 0
100594 20 0
12824 5 0
52390 40 0
11418 50 0
97118 41 0
12822 3 0
6170 18 0
29231 14 0
18760 36 0
80482 70 0
84804 111 0
80484 590 0
18762 70 0
23706 9 0
74568 11 0
7521 11 0
7523 11 0
74570 31 0
31573 9 0
57767 6 0
7525 31 0
47265 4 0
74572 11 0
74574 21 0
7527 11 0
57337 9 0
67859 120 0
105052 457 0
102194 0 0
68959 5 0
73014 4 0
3870 9 0
1400 14 0
7531 28 0
74578 18 0
7517 13 0
62196 4 0
44091 5 0
47893 4 0
40610 10 0
23387 4 0
101782 4 0
67271 34 0
61874 80 0
23388 7 0
44880 3 0
84586 39 0
57326 5 0
66076 16 0
44888 13 0
32412 6 0
67786 35 0
59171 4 0
26993 68 0
62575 0 0
102196 7 0
63425 11 0
79638 5 0
16885 150 0
80478 66 0
80486 150 0
15443 41 0
65031 67 0
103232 22 0
104810 137 0
14727 28 0
104932 143 0
18766 150 0
18771 172 0
14909 50 0
8466 44 0
74516 86 0
104998 3 0
29488 20 0
7441 86 0
47658 17 0
42449 45 0
43397 4 0
82776 45 0
6578 66 0
32187 77 0
97674 85 0
87328 62 0
53331 125 0
43858 55 0
32195 62 0
94922 30 0
91052 138 0
12494 62 0
77258 103 0
15924 13 0
20358 27 0
41766 24 0
77746 43 0
77756 34 0
19507 98 0
92322 64 0
42299 35 0
81380 27 0
20356 9 0
18758 66 0
80480 36 0
82600 97 0
14580 6 0
67806 10 0
12498 280 0
26748 4 0
91612 7 0
55059 50 0
67629 4 0
54468 4 0
11540 26 0
7310 20 0
62695 29 0
45294 5 0
52848 9 0
35652 12 0
59859 3 0
59875 62 0
41591 75 0
25841 44 0
96256 114 0
50570 31 0
84218 15 0
69159 9 0
24759 13 0
66779 25 0
13777 4 0
27479 34 0
41627 13 0
56693 15 0
85586 4 0
29881 11 0
17599 4 0
43799 22 0
79912 23 0
77760 4 0
13408 47 0
41624 47 0
7626 3 0
54761 4 0
43544 161 0
12530 24 0
77274 4 0
19589 26 0
57791 7 0
86150 11 0
85582 3 0
14837 13 0
78542 23 0
75362 26 0
69358 7 0
57783 7 0
16808 3 0
1616 6 0
46749 14 0
16227 9 0
14780 23 0
9026 26 0
54251 25 0
81730 3 0
14776 9 0
78572 9 0
69065 16 0
24763 4 0
99302 205 0
57782 3 0
13410 4 0
80390 9 0
18642 11 0
59820 397 0
83014 182 0
53193 16 0
67300 6 0
12926 4 0
95326 5 0
47473 5 0
94724 4 0
58277 13 0
86494 4 0
42248 54 0
30531 26 0
30533 4 0
80356 53 0
100386 111 0
47689 14 0
61097 134 0
63664 28 0
60515 10 0
282 20 0
13555 16 0
104874 67 0
67558 3 0
1809 3 0
72116 3 0
9416 37 0
32875 6 0
52472 20 0
100442 4 0
51749 8 0
62524 7 0
22387 32 0
54663 3 0
32309 16 0
74860 25 0
70884 16 0
52102 4 0
102286 6 0
62738 4 0
45795 4 0
40265 55 0
54639 7 0
32320 24 0
19036 18 0
54636 7 0
62437 242 0
61006 330 0
101328 262 0
54664 8 0
31550 3 0
54641 9 0
77044 20 0
12156 3 0
36325 75 0
44057 3 0
23921 47 0
3458 3 0
69179 12 0
24066 3 0
44058 26 0
21731 97 0
81000 43 0
82976 56 0
82084 91 0
69181 3 0
44176 259 0
44052 3 0
44056 44 0
63667 3 0
36224 3 0
44054 36 0
101330 156 0
61008 262 0
101718 112 0
62287 186 0
48421 13 0
4517 3 0
3104 13 0
41271 17 0
61010 156 0
103266 183 0
64340 192 0
3086 6 0
3085 7 0
58791 16 0
29754 8 0
46657 12 0
3073 10 0
56002 16 0
69420 3 0
69180 3 0
80642 251 0
19029 238 0
69985 60 0
99474 9 0
19876 89 0
99476 120 0
57714 9 0
2603 6 0
51474 24 0
6666 12 0
48949 8 0
5605 10 0
67803 9 0
60047 7 0
19855 33 0
19847 4 0
81070 3 0
2551 11 0
10955 11 0
66058 591 0
19843 3 0
81066 3 0
19852 36 0
2564 12 0
19845 3 0
81068 4 0
90430 11 0
94368 102 0
67754 70 0
69177 3 0
94034 3 0
6298 5 0
10952 7 0
7452 16 0
46835 7 0
43807 40 0
70358 16 0
21984 18 0
82208 14 0
53159 6 0
52085 9 0
23645 4 0
32479 3 0
32232 37 0
70356 18 0
70368 12 0
27196 19 0
1417 5 0
2557 23 0
25082 16 0
102566 37 0
63256 3 0
56088 10 0
83092 4 0
20190 4 0
29580 13 0
52825 9 0
56084 5 0
80492 23 0
27053 15 0
84744 16 0
80938 16 0
18782 23 0
19664 15 0
56051 7 0
195 10 0
71238 9 0
44207 16 0
51794 12 0
97578 7 0
98564 12 0
215 23 0
55359 13 0
56036 5 0
92596 12 0
216 23 0
42818 13 0
16738 12 0
79550 13 0
217 23 0
32271 10 0
68811 33 0
66820 39 0
52638 5 0
54304 19 0
56027 11 0
28785 489 0
52639 19 0
52635 5 0
57045 6 0
41604 54 0
81638 20 0
28753 86 0
8217 3 0
56035 4 0
49356 35 0
22362 0 0
23473 182 0
83016 503 0
57462 19 0
42114 25 0
99766 8 0
58323 61 0
87674 16 0
11129 5 0
41413 18 0
21108 26 0
99400 37 0
57582 88 0
46256 12 0
2135 31 0
70243 19 0
72328 45 0
2334 12 0
1731 19 0
4268 4 0
41594 52 0
74884 32 0
19420 3 0
80864 17 0
42840 36 0
94450 4 0
5943 63 0
92448 7 0
59784 3 0
15478 3 0
78308 26 0
19679 6 0
57850 116 0
101984 13 0
76970 8 0
89952 12 0
43167 124 0
4130 3 0
4131 21 0
7808 28 0
47018 18 0
7579 15 0
59907 10 0
4313 28 0
71768 6 0
8239 11 0
35723 10 0
98632 4 0
77146 213 0
12317 4 0
40711 7 0
104520 4 0
62688 30 0
61160 18 0
62693 4 0
44449 61 0
32990 3 0
6713 214 0
105236 202 0
46989 71 0
44448 3 0
39626 4 0
80262 64 0
86734 389 0
18307 64 0
80264 254 0
31008 128 0
49732 9 0
69491 4 0
65067 764 0
18309 254 0
80266 326 0
103718 585 0
44445 9 0
69490 15 0
26549 61 0
66486 6 0
84514 4 0
80510 17 0
41908 23 0
18805 4 0
95746 49 0
18807 17 0
92432 154 0
39456 30 0
23579 6 0
106690 29 0
100908 32 0
3477 19 0
72828 7 0
7578 5 0
86642 33 0
18311 326 0
17824 3 0
16526 4 0
16521 26 0
30821 33 0
65973 374 0
106562 58 0
42480 94 0
70915 18 0
11354 3 0
9621 27 0
70665 3 0
32570 126 0
32569 3 0
25126 60 0
51303 6 0
51327 50 0
67888 4 0
70351 16 0
69681 91 0
56706 143 0
32353 89 0
40922 10 0
21063 17 0
47094 38 0
21449 6 0
17046 6 0
22407 39 0
51173 10 0
70767 20 0
8341 3 0
105810 7 0
15941 3 0
18815 166 0
80512 226 0
6549 3 0
28970 3 0
28915 18 0
81458 5 0
20478 11 0
51031 4 0
20480 5 0
81460 14 0
27026 6 0
84796 7 0
27133 4 0
32573 255 0
25125 3 0
70666 125 0
32572 3 0
95426 51 0
55381 6 0
38634 20 0
75786 6 0
1879 10 0
23820 66 0
83194 65 0
53999 26 0
97964 71 0
